"","1_alpha-rep","9_replication_protein","27_Rep","28_alpha-V2"
"1705092",FALSE,FALSE,FALSE,FALSE
"1260769",FALSE,FALSE,FALSE,FALSE
"187850",FALSE,FALSE,FALSE,FALSE
"1454227",FALSE,FALSE,FALSE,FALSE
"1407058",FALSE,FALSE,FALSE,FALSE
"1468596",FALSE,FALSE,FALSE,FALSE
"915293",FALSE,FALSE,FALSE,FALSE
"713090",FALSE,FALSE,FALSE,FALSE
"759124",FALSE,FALSE,FALSE,FALSE
"1225644",FALSE,FALSE,FALSE,FALSE
"1841147",FALSE,FALSE,FALSE,FALSE
"1428342",FALSE,FALSE,FALSE,FALSE
"1507725",FALSE,FALSE,FALSE,FALSE
"661505",FALSE,FALSE,FALSE,FALSE
"713091",FALSE,FALSE,FALSE,FALSE
"679536",FALSE,FALSE,FALSE,FALSE
"2169841",FALSE,FALSE,FALSE,FALSE
"1048668",FALSE,FALSE,FALSE,FALSE
"666147",FALSE,FALSE,FALSE,FALSE
"656025",FALSE,FALSE,FALSE,FALSE
"656028",FALSE,FALSE,FALSE,FALSE
"748170",FALSE,FALSE,FALSE,FALSE
"1468597",FALSE,FALSE,FALSE,FALSE
"944996",FALSE,FALSE,FALSE,FALSE
"377461",FALSE,FALSE,FALSE,FALSE
"741733",FALSE,FALSE,FALSE,FALSE
"2169825",FALSE,FALSE,TRUE,TRUE
"1705093",FALSE,FALSE,FALSE,FALSE
"447598",FALSE,FALSE,FALSE,FALSE
"1249467",FALSE,FALSE,FALSE,FALSE
"743026",FALSE,FALSE,FALSE,FALSE
"743027",FALSE,FALSE,FALSE,FALSE
"1755198",FALSE,FALSE,FALSE,FALSE
"2169842",FALSE,FALSE,FALSE,FALSE
"2169843",FALSE,FALSE,FALSE,FALSE
"1506184",FALSE,FALSE,FALSE,FALSE
"1293961",FALSE,FALSE,FALSE,FALSE
"1535266",FALSE,FALSE,FALSE,FALSE
"447597",FALSE,FALSE,FALSE,FALSE
"1250303",FALSE,FALSE,FALSE,FALSE
"1544378",FALSE,FALSE,FALSE,FALSE
"926844",FALSE,FALSE,FALSE,FALSE
"905055",FALSE,FALSE,FALSE,FALSE
"1407057",FALSE,FALSE,FALSE,FALSE
"743040",FALSE,FALSE,FALSE,FALSE
"743041",FALSE,FALSE,FALSE,FALSE
"743042",FALSE,FALSE,FALSE,FALSE
"538004",FALSE,FALSE,FALSE,FALSE
"240557",FALSE,FALSE,FALSE,FALSE
"2169846",FALSE,FALSE,FALSE,FALSE
"2169827",FALSE,FALSE,FALSE,FALSE
"2169908",FALSE,FALSE,FALSE,FALSE
"2560838",FALSE,FALSE,FALSE,FALSE
"2169828",FALSE,FALSE,FALSE,FALSE
