Core.size Pan.size BIC LogLikelihood
2 components 0 50 292.658339570061 -140.619176050375
3 components 0 187 145.542223859403 -63.2544557052757
4 components 0 116 156.818270529601 -65.0858165506045
5 components 0 231 137.614136858687 -51.6770872253771
6 components 0 136 166.888005632038 -62.5073591222825
7 components 0 124 155.47783573651 -52.9956116847479
8 components 0 114 164.842971633555 -53.8715171434999
9 components 0 97 179.836285432543 -57.561511553224
10 components 0 85 193.034586262584 -60.3539994784741
Sample 0 45 NA NA
