cluster	prevalence	term	what	familia	algoritmo
1_putative_viral_repli..	72.99270072992701	DNA replication [GO:0006260]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	protein-DNA covalent cross-linking [GO:0018142]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
111_putative_replication..	0.7299270072992701	DNA replication [GO:0006260]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
111_putative_replication..	0.7299270072992701	protein-DNA covalent cross-linking [GO:0018142]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
111_putative_replication..	0.7299270072992701	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
23_replication-associat..	5.839416058394161	DNA replication [GO:0006260]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
23_replication-associat..	5.839416058394161	protein-DNA covalent cross-linking [GO:0018142]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
23_replication-associat..	5.839416058394161	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
23_replication-associat..	5.839416058394161	Putative function Uniprot hit [GO:PPPPPPP]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
230_putative_replication..	0.7299270072992701	DNA replication [GO:0006260]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
3_putative_replication..	13.86861313868613	DNA replication [GO:0006260]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
3_putative_replication..	13.86861313868613	protein-DNA covalent cross-linking [GO:0018142]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
3_putative_replication..	13.86861313868613	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
34_replication-associat..	1.4598540145985401	DNA replication [GO:0006260]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
34_replication-associat..	1.4598540145985401	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
50_putative_capsid_prot..	19.708029197080293	endocytosis involved in viral entry into host cell [GO:0075509]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
50_putative_capsid_prot..	19.708029197080293	viral capsid assembly [GO:0019069]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
50_putative_capsid_prot..	19.708029197080293	viral penetration into host nucleus [GO:0075732]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
50_putative_capsid_prot..	19.708029197080293	virion attachment to host cell [GO:0019062]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
56_putative_capsid_prot..	27.00729927007299	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
7_putative_capsid_prot..	2.9197080291970803	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
79_replication_associat..	5.109489051094891	DNA replication [GO:0006260]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
79_replication_associat..	5.109489051094891	protein-DNA covalent cross-linking [GO:0018142]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
79_replication_associat..	5.109489051094891	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
1_putative_viral_repli..	72.99270072992701	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
111_putative_replication..	0.7299270072992701	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
23_replication-associat..	5.839416058394161	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
23_replication-associat..	5.839416058394161	Putative function Uniprot hit [GO:PPPPPPP]	cc	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
230_putative_replication..	0.7299270072992701	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
3_putative_replication..	13.86861313868613	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
34_replication-associat..	1.4598540145985401	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
50_putative_capsid_prot..	19.708029197080293	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
50_putative_capsid_prot..	19.708029197080293	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Circoviridae/cluster_1_homologues_19062021_0417/	COG
