"","GO:0016032","GO:0046718","GO:0075732","GO:0006260","GO:0046740","GO:0019048","GO:0060967","GO:0051027"
"1_AV2",NA,NA,NA,NA,NA,TRUE,TRUE,NA
"2_AV1",NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE
"3_AC3",TRUE,NA,NA,NA,NA,NA,NA,NA
"4_AC2",TRUE,NA,NA,NA,NA,NA,NA,NA
"566_rep",NA,NA,NA,TRUE,NA,NA,NA,NA
"68_av2",NA,NA,NA,NA,NA,TRUE,TRUE,NA
"172_AC1",NA,NA,NA,TRUE,NA,NA,NA,NA
"432_capsid_protein",NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE
"564_V1",NA,NA,NA,NA,TRUE,NA,NA,NA
"565_V2",NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE
"791_v2",NA,NA,NA,NA,NA,TRUE,TRUE,NA
"795_c1",NA,NA,NA,TRUE,NA,NA,NA,NA
"863_truncated_V2",NA,NA,NA,NA,NA,TRUE,TRUE,NA
"880_AC4",NA,NA,NA,TRUE,NA,NA,NA,NA
"1114_V1",NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE
