"","GO:0020002","GO:0043657","GO:0042025","GO:0019028","GO:0044220","GO:0030430","GO:0039615"
"1_AV2",NA,NA,NA,TRUE,TRUE,TRUE,NA
"2_AV1",TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE
"4_AC2",NA,NA,TRUE,TRUE,NA,TRUE,NA
"566_rep",NA,NA,TRUE,TRUE,NA,NA,NA
"68_av2",NA,NA,NA,TRUE,TRUE,TRUE,NA
"172_AC1",NA,NA,TRUE,TRUE,NA,NA,NA
"432_capsid_protein",TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE
"565_V2",TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE
"791_v2",NA,NA,NA,TRUE,TRUE,TRUE,NA
"795_c1",NA,NA,TRUE,TRUE,NA,NA,NA
"863_truncated_V2",NA,NA,NA,TRUE,TRUE,TRUE,NA
"880_AC4",NA,NA,TRUE,TRUE,NA,NA,NA
"1114_V1",TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE
