cluster	prevalence	term	what	familia	algoritmo
1_capsid	100	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
2_rep	30.666666666666664	DNA replication [GO:0006260]	bp	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
22_replication-associat..	5.333333333333334	DNA replication [GO:0006260]	bp	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
22_replication-associat..	5.333333333333334	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
23_RepA	5.333333333333334	DNA replication [GO:0006260]	bp	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
23_RepA	5.333333333333334	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
26_replication-associat..	2.666666666666667	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
26_replication-associat..	2.666666666666667	DNA replication [GO:0006260]	bp	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
34_replication-associat..	1.3333333333333335	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
34_replication-associat..	1.3333333333333335	DNA replication [GO:0006260]	bp	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
49_replication_associat..	1.3333333333333335	DNA replication [GO:0006260]	bp	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
6_replication-associat..	73.33333333333333	DNA replication [GO:0006260]	bp	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
6_replication-associat..	73.33333333333333	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
70_rep2	2.666666666666667	DNA replication [GO:0006260]	bp	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
1_capsid	100	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
1_capsid	100	viral capsid [GO:0019028]	cc	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
2_rep	30.666666666666664	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
22_replication-associat..	5.333333333333334	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
23_RepA	5.333333333333334	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746/	OMCL
