cluster	prevalence	term	what	familia	algoritmo
100_E	11.627906976744185	cytolysis [GO:0019835]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
100_E	11.627906976744185	suppression by virus of host peptidoglycan biosynthetic process [GO:0039635]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
100_E	11.627906976744185	viral release by cytolysis via suppression of host peptidoglycan biosynthetic process [GO:0039640]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
100_E	11.627906976744185	viral release from host cell by cytolysis [GO:0044659]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
100_E	11.627906976744185	modulation by virus of host cellular process [GO:0019054]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
102_F	11.627906976744185	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
103_G	11.627906976744185	modulation by virus of host process [GO:0019048]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
103_G	11.627906976744185	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
103_G	11.627906976744185	virion attachment to host cell [GO:0019062]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
104_H	11.627906976744185	lipopolysaccharide-mediated virion attachment to host cell [GO:0039638]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
104_H	11.627906976744185	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
161_DNA_pilot_protein_VP..	2.3255813953488373	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
190_minor_capsid_protein	2.3255813953488373	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
2_nonstructural_protei..	32.55813953488372	viral process [GO:0016032]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
280_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
281_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
282_hypothetical_protein	2.3255813953488373	viral process [GO:0016032]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
285_minor_capsid_protein	2.3255813953488373	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
29_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
30_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
31_hypothetical_protein	2.3255813953488373	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
32_minor_capsid_protein	20.930232558139537	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758/	OMCL
