"","GO:0039592","GO:0019062","GO:0046718","GO:0075732","GO:0006260","GO:0075512","GO:0075521","GO:0039665","GO:0039685","GO:0019051"
"2_Putative_nonstructur..",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"5_Putative_structural_..",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"9_VP1",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"10_nonstructural_protei..",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
"11_capsid_protein",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"14_Rep_40_protein",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"17_major_coat_protein_V..",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"33_NS1",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"36_NS1",TRUE,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA
"39_hypothetical_protein",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"51_Cap",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"63_VP2",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"87_putative_VP1",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"90_capsid_protein_VP",TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,NA
"115_NS1",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"137_polyprotein",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"139_hypothetical_protein",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"146_VP",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"166_cap",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"168_non-structural_prote..",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"173_nonstructural_protei..",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"178_putative_structural_..",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"219_NS1",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
"280_NS1",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"320_putative_nonstructur..",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"336_cap",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"358_putative_structural_..",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"417_non-structural_prote..",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
"468_structural_protein",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"491_VP1",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
