"","GO:0005524","GO:0003677","GO:0005198","GO:0004003"
"4_Putative_structural_..",NA,NA,TRUE,NA
"5_Putative_structural_..",NA,NA,TRUE,NA
"9_VP1",NA,NA,TRUE,NA
"11_capsid_protein",NA,NA,TRUE,NA
"17_major_coat_protein_V..",NA,NA,TRUE,NA
"36_NS1",TRUE,TRUE,NA,TRUE
"51_Cap",NA,NA,TRUE,NA
"63_VP2",NA,NA,TRUE,NA
"87_putative_VP1",NA,NA,TRUE,NA
"90_capsid_protein_VP",NA,NA,TRUE,NA
"139_hypothetical_protein",NA,NA,TRUE,NA
"146_VP",NA,NA,TRUE,NA
"177_putative_structural_..",NA,NA,TRUE,NA
"178_putative_structural_..",NA,NA,TRUE,NA
"219_NS1",TRUE,TRUE,NA,TRUE
"336_cap",NA,NA,TRUE,NA
"358_putative_structural_..",NA,NA,TRUE,NA
"491_VP1",NA,NA,TRUE,NA
