1_capsid_protein,16_ORF2,2_replication_associat..,32_ORF3_protein,33_replication-associat..,34_capsid_protein,43_ORF5,44_ORF3,45_ORF6,47_ORF4,75_hypothetical_protein,78_hypothetical_protein,97_Rep_protein
1497.6796875,-1293.01416015625,-1445.57421875,-1362.052978515625,-1499.920166015625,-1352.5986328125,-1416.509521484375,-1324.3372802734375,-1362.67578125,-1813.0546875,-1280.29296875,-1292.6058349609375,-1512.6617431640625
-1293.01416015625,456.8046875,-969.0223388671875,-592.07061767578125,-1144.240478515625,-741.92950439453125,-842.2784423828125,-588.7080078125,-528.72772216796875,-1628.68017578125,-501.2809143066406,-621.952880859375,-1084.85107421875
-1445.57421875,-969.0223388671875,1054.3974609375,-962.6341552734375,-1317.2457275390625,-1082.6954345703125,-1097.461181640625,-968.87310791015625,-985.151123046875,-1707.40625,-966.43450927734375,-1045.39111328125,-453.7437744140625
-1362.052978515625,-592.07061767578125,-962.6341552734375,507.560791015625,-1155.438720703125,-717.689453125,-838.50653076171875,-556.95068359375,-542.23028564453125,-1602.4654541015625,-550.01416015625,-584.34716796875,-1032.9375
-1499.920166015625,-1144.240478515625,-1317.2457275390625,-1155.438720703125,1252.3681640625,-1206.660888671875,-1210.4383544921875,-1153.3922119140625,-1171.962646484375,-1768.6861572265625,-1122.4381103515625,-1222.7802734375,-1263.2252197265625
-1352.5986328125,-741.92950439453125,-1082.6954345703125,-717.689453125,-1206.660888671875,783.26702880859375,-949.49700927734375,-717.82623291015625,-739.519775390625,-1643.5133056640625,-734.71142578125,-802.00067138671875,-1149.633544921875
-1416.509521484375,-842.2784423828125,-1097.461181640625,-838.50653076171875,-1210.4383544921875,-949.49700927734375,888.2315673828125,-811.69696044921875,-834.475830078125,-1592.22265625,-849.61572265625,-888.670654296875,-1139.7449951171875
-1324.3372802734375,-588.7080078125,-968.87310791015625,-556.95068359375,-1153.3922119140625,-717.82623291015625,-811.69696044921875,546.5662841796875,-548.98895263671875,-1594.70849609375,-541.489990234375,-598.80194091796875,-1091.19189453125
-1362.67578125,-528.72772216796875,-985.151123046875,-542.23028564453125,-1171.962646484375,-739.519775390625,-834.475830078125,-548.98895263671875,451.8855895996094,-1621.009521484375,-495.8628234863281,-616.70794677734375,-1050.847412109375
-1813.0546875,-1628.68017578125,-1707.40625,-1602.4654541015625,-1768.6861572265625,-1643.5133056640625,-1592.22265625,-1594.70849609375,-1621.009521484375,1747.8431396484375,-1580.4217529296875,-1553.51904296875,-1733.0455322265625
-1280.29296875,-501.2809143066406,-966.43450927734375,-550.01416015625,-1122.4381103515625,-734.71142578125,-849.61572265625,-541.489990234375,-495.8628234863281,-1580.4217529296875,431.773681640625,-584.192138671875,-1051.611328125
-1292.6058349609375,-621.952880859375,-1045.39111328125,-584.34716796875,-1222.7802734375,-802.00067138671875,-888.670654296875,-598.80194091796875,-616.70794677734375,-1553.51904296875,-584.192138671875,621.76202392578125,-1115.4285888671875
-1512.6617431640625,-1084.85107421875,-453.7437744140625,-1032.9375,-1263.2252197265625,-1149.633544921875,-1139.7449951171875,-1091.19189453125,-1050.847412109375,-1733.0455322265625,-1051.611328125,-1115.4285888671875,1170.59765625
