"","Secretin","Phage_DNA_bind","Rep_trans","Phage_CRI","Phage_X"
"1_II",NA,NA,NA,TRUE,TRUE
"2_X",NA,NA,NA,NA,TRUE
"3_V",NA,TRUE,NA,NA,NA
"10_IV",TRUE,NA,NA,NA,NA
"12_IV",TRUE,NA,NA,NA,NA
"13_replication_initiati..",NA,NA,NA,TRUE,TRUE
"14_X",NA,NA,NA,NA,TRUE
"88_DNA_replication_init..",NA,NA,TRUE,NA,NA
