Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Enterobacteria-phage-fd_taxid_10864.gbk,Escherichia-virus-I22_taxid_10869.gbk,Escherichia-virus-M13_taxid_1977402.gbk,Salmonella-phage-IKe_taxid_10867.gbk,Vibrio-phage-KSF1_taxid_292443.gbk,Vibrio-phage-VCY-phi_taxid_1105327.gbk,Vibrio-phage-VEJphi_taxid_642111.gbk,Vibrio-phage-VSK_taxid_181604.gbk,Vibrio-phage-VfO4K68_taxid_127508.gbk,Vibrio-virus-fs1_taxid_70203.gbk
1_II.faa,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,0,0
2_X.faa,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,0,0
3_V.faa,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,0,0
4_VII.faa,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0
5_IX.faa,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0
6_VIII.faa,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0
7_III.faa,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0
8_VI.faa,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,0,0
9_I.faa,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0
10_IV.faa,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0
12_IV.faa,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0
13_replication_initiati...faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0
14_X.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0
15_gene_V_product.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0
16_VII.faa,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0
17_IX.faa,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0
19_III.faa,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0
42_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0
44_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0
45_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0
46_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0
49_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0
50_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0
51_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0
52_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0
54_ssDNA-binding_protei...faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0
55_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0
57_minor_capsid_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0
61_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,0,0
62_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,0,0
65_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,1
66_major_capsid_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1
67_putative_minor_capsi...faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1
69_putative_minor_coat_...faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,1
70_putative_assembly_pr...faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1
73_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0
76_prim-VSK.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1
81_major_coat_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0
82_memb2.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1
85_VSK-tox1.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0
86_VSK_tox2.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0
87_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1
88_DNA_replication_init...faa,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1
89_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,1,1,1,1
90_Vpf76.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0
93_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,1,0
94_putative_assembly_pr...faa,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,1,0
95_Vpf215.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0
103_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
104_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
107_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
