source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Smacoviridae/cluster_3_homologues_19062021_0820_intersection	2_ORF2.faa	10_rep.faa	11_cap.faa
Camel-associated-drosmacovirus-1_taxid_2169876.gbk	1	1	1
Camel-associated-drosmacovirus-2_taxid_2169877.gbk	1	1	1
Camel-associated-porprismacovirus-1_taxid_2170105.gbk	1	1	1
Camel-associated-porprismacovirus-2_taxid_2170106.gbk	0	1	1
Camel-associated-porprismacovirus-3_taxid_2170107.gbk	0	1	1
Camel-associated-porprismacovirus-4_taxid_2170108.gbk	0	1	1
Fly-associated-circular-virus-4_taxid_2293284.gbk	0	1	1
Turkey-associated-porprismacovirus-1_taxid_2170130.gbk	0	1	1
