"","AAA","Phage_integrase","N6_N4_Mtase","Phage_int_SAM_1","Sigma70_r4_2"
"13_putative_protein_13",NA,NA,NA,NA,TRUE
"18_integrase",NA,TRUE,NA,TRUE,NA
"51_ORF10",NA,NA,TRUE,NA,NA
"117_ORF8",TRUE,NA,NA,NA,NA
