"","Viral_coat","Gemini_AL1","RNA_helicase","Viral_Rep","Circo_capsid"
"1_replication_associat..",NA,TRUE,TRUE,NA,NA
"4_replication-associat..",NA,NA,NA,TRUE,NA
"8_replication-associat..",NA,NA,TRUE,TRUE,NA
"9_putative_viral_capsi..",TRUE,NA,NA,NA,NA
"11_replication-associat..",NA,NA,TRUE,NA,NA
"15_replication-associat..",NA,NA,TRUE,NA,NA
"16_capsid_protein",NA,NA,NA,NA,TRUE
