"","GO:0006412","GO:0009636","GO:0070914","GO:0051013","GO:0034599","GO:0051301","GO:0019079","GO:0072719","GO:0033314","GO:0071218","GO:0046718","GO:0075713","GO:0015074","GO:0007059","GO:0006260","GO:0007049","GO:0071897","GO:0042148","GO:0007127","GO:0097352","GO:0006888","GO:0006355","GO:0030420","GO:0032968","GO:0045899","GO:0006479","GO:0009307","GO:0045053","GO:0034551","GO:0009432","GO:0045003","GO:0006313","GO:0006352","GO:0001824","GO:0032775","GO:0032508","GO:0010165","GO:0072757","GO:0071139","GO:0072711","GO:0000732","GO:0006406","GO:0051260","GO:0030968","GO:1990414","GO:0030433","GO:0070987","GO:0018279","GO:0000733","GO:0000160","GO:0001932","GO:0090296","GO:0051131","GO:0016558","GO:0070407","GO:0043335","GO:0001319","GO:0035617","GO:0034214","GO:0070414","GO:0016485","GO:0070389","GO:0070370","GO:0071480","GO:0007131","GO:0045041","GO:0061641","GO:0070651","GO:0071712","GO:0032979","GO:0070842","GO:2001171","GO:0061738","GO:0031117","GO:1903862","GO:0070682","GO:0046034","GO:1901800","GO:1990171","GO:0006272","GO:0070676","GO:1903007","GO:0090261","GO:0061166","GO:1903715","GO:0035494","GO:0016562","GO:2000158","GO:0048219","GO:1903724","GO:0072389","GO:0051106","GO:0090124","GO:0000730","GO:1990426","GO:1904631"
"13_putative_protein_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18_integrase",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51_ORF10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"101_hypothetical_protein",TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,TRUE,TRUE
"117_ORF8",NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
