cluster1_capsid	size75	taxa75		file1_capsid.faa	dnafile1_capsid.fna	1634484_2230896_2230900_1986477_1986478_1986479_1391037_1985371_1542743_1985374_1897538_1234886_1234884_1234887_2291614_1391025_1391026_1843734_1843735_1843737_1843738_1843740_1843742_1391031_1391032_1391033_1391034_1862824_1862825_1588764_1708653_2041417_1792832_1488574_1367218_2219118_2219120_2219123_1516081_1634486_1634487_1592108_1795989_1795988_1795994_1795998_1795999_1708497_1699094_2017712_1985404_1985397_1985398_1985399_1985400_1985401_1985402_1985403_1519409_1592081_1519407_1519400_1519405_1519404_1985407_1985408_2293299_1719040_2108550_1941233_1941234_1941237_1941239_2293308_2077299
cluster2_rep	size27	taxa23	PfamPF00799,PF08283,	file2_rep.faa	dnafile2_rep.fna	1634484_2230896_1986479_1542743_1985374_1234887_1391025_1391026_1843734_1843734_1843735_1843738_1843738_1843740_1588764_1592108_1795989_1708497_1708497_1985398_1985398_1985402_1519409_1519407_1985407_1941234_1941237
cluster6_replication-associat..	size74	taxa55	PfamPF00799,	file6_replication-associat...faa	dnafile6_replication-associat...fna	2230900_1986477_1986478_1391037_1985371_1234886_1234886_1234884_1234884_1234887_2291614_1843735_1843740_1843742_1843742_1391031_1391032_1391033_1391034_1862825_1708653_2041417_2041417_1792832_1488574_1488574_1367218_2219118_2219120_2219123_1516081_1634486_1634487_1795989_1795988_1795988_1795994_1795994_1699094_2017712_1985404_1985404_1985397_1985397_1985399_1985399_1985400_1985400_1985401_1985401_1985402_1985403_1985403_1519409_1592081_1519407_1519400_1519400_1519405_1519405_1519404_1519404_1985407_1985408_1985408_2293299_1719040_2108550_1941233_1941233_1941234_1941237_2077299_2077299
cluster22_replication-associat..	size5	taxa4	PfamPF08283,	file22_replication-associat...faa	dnafile22_replication-associat...fna	1897538_1795998_1795999_1795999_1941239
cluster23_RepA	size6	taxa5		file23_RepA.faa	dnafile23_RepA.fna	1897538_1843737_1843737_1795998_1941239_2293308
cluster26_replication-associat..	size5	taxa5		file26_replication-associat...faa	dnafile26_replication-associat...fna	1234886_1234884_1234887_1862824_1516081
cluster68_hyp	size1	taxa1		file68_hyp.faa	dnafile68_hyp.fna	1862824
cluster71_rep1	size4	taxa4		file71_rep1.faa	dnafile71_rep1.fna	1862824_1708653_1792832_1367218
cluster72_hyp	size1	taxa1		file72_hyp.faa	dnafile72_hyp.fna	1862825
cluster90_putative_V2_protein	size1	taxa1		file90_putative_V2_protein.faa	dnafile90_putative_V2_protein.fna	1367218
cluster93_putative_V3_protein	size1	taxa1		file93_putative_V3_protein.faa	dnafile93_putative_V3_protein.fna	1367218
