cluster	prevalence	term	what	familia	algoritmo
1_II	7.142857142857142	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
1_II	7.142857142857142	endonuclease activity [GO:0004519]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
1_II	7.142857142857142	DNA ligase (ATP) activity [GO:0003910]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
10_IV	7.142857142857142	protein secretion by the type II secretion system [GO:0015628]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
10_IV	7.142857142857142	establishment of competence for transformation [GO:0030420]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
10_IV	7.142857142857142	pilus assembly [GO:0009297]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
10_IV	7.142857142857142	integral component of membrane [GO:0016021]	cc	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
10_IV	7.142857142857142	cell outer membrane [GO:0009279]	cc	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
10_IV	7.142857142857142	type II protein secretion system complex [GO:0015627]	cc	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
107_hypothetical_protein	30.952380952380953	zeatin O-beta-D-xylosyltransferase activity [GO:0050404]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
144_major_coat_protein	7.142857142857142	viral capsid [GO:0019028]	cc	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
15_III	2.380952380952381	pathogenesis [GO:0009405]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
15_III	2.380952380952381	virion attachment to host cell pilus [GO:0039666]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
15_III	2.380952380952381	viral capsid [GO:0019028]	cc	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	negative regulation of astrocyte differentiation [GO:0048712]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	adrenal gland development [GO:0030325]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	regulation of cellular response to drug [GO:2001038]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	chromosome breakage [GO:0031052]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	mesodermal-endodermal cell signaling [GO:0003131]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	pituitary gland development [GO:0021983]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	negative regulation of double-strand break repair via nonhomologous end joining [GO:2001033]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	epithelial tube branching involved in lung morphogenesis [GO:0060441]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	fat pad development [GO:0060613]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	positive regulation of stem cell proliferation [GO:2000648]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	positive regulation of epithelial cell proliferation involved in lung morphogenesis [GO:0060501]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	histone H2A-S139 phosphorylation [GO:0035978]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	positive regulation of DNA replication origin binding [GO:1902597]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	lung epithelium development [GO:0060428]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	regulation of growth hormone secretion [GO:0060123]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	chondrocyte proliferation [GO:0035988]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	oncogene-induced cell senescence [GO:0090402]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	senescence-associated heterochromatin focus assembly [GO:0035986]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	positive regulation of cellular response to X-ray [GO:2000685]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	nucleosome assembly [GO:0006334]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	cell proliferation in forebrain [GO:0021846]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	negative regulation of single stranded viral RNA replication via double stranded DNA intermediate [GO:0045869]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	positive regulation of cellular senescence [GO:2000774]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	senescence-associated heterochromatin focus [GO:0035985]	cc	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	nucleus [GO:0005634]	cc	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	polytene chromosome [GO:0005700]	cc	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	Slx1-Slx4 complex [GO:0033557]	cc	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	nucleosome [GO:0000786]	cc	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	nuclear chromosome [GO:0000228]	cc	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	SMAD protein complex [GO:0071141]	cc	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	5'-flap endonuclease activity [GO:0017108]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	MH1 domain binding [GO:0035501]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	MH2 domain binding [GO:0035500]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	C2H2 zinc finger domain binding [GO:0070742]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	dinitrosyl-iron complex binding [GO:0035731]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	DNA-dependent protein kinase activity [GO:0004677]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	nucleosomal DNA binding [GO:0031492]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	minor groove of adenine-thymine-rich DNA binding [GO:0003680]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	cAMP response element binding [GO:0035497]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	satellite DNA binding [GO:0003696]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
150_hypothetical_protein	4.761904761904762	5'-deoxyribose-5-phosphate lyase activity [GO:0051575]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
152_hypothetical_protein	2.380952380952381	protein complex oligomerization [GO:0051259]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
152_hypothetical_protein	2.380952380952381	negative regulation of transcription, DNA-templated [GO:0045892]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
152_hypothetical_protein	2.380952380952381	DNA binding [GO:0003677]	mf	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	COG
