"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"1","1_A",12,11,"PF05840_","1_A.faa","1_A.fna","489828_338101_338102_338107_338106_338110_338103_10845_10845_338105_10849_2507234",100
"2","2_B",11,11,"PF02304_","2_B.faa","2_B.fna","489828_338101_338102_338107_338106_338110_338103_10845_338105_10849_2507234",100
"3","3_K",11,11,"","3_K.faa","3_K.fna","489828_338101_338102_338107_338106_338110_338103_10845_338105_10849_2507234",100
"4","4_C",11,11,"PF12025_","4_C.faa","4_C.fna","489828_338101_338102_338107_338106_338110_338103_10845_338105_10849_2507234",100
"5","5_D",11,11,"PF02925_","5_D.faa","5_D.fna","489828_338101_338102_338107_338106_338110_338103_10845_338105_10849_2507234",100
"6","6_E",11,11,"PF04517_","6_E.faa","6_E.fna","489828_338101_338102_338107_338106_338110_338103_10845_338105_10849_2507234",100
"7","7_J",11,11,"PF04726_","7_J.faa","7_J.fna","489828_338101_338102_338107_338106_338110_338103_10845_338105_10849_2507234",100
"8","8_F",11,11,"PF02305_PF02305_","8_F.faa","8_F.fna","489828_338101_338102_338107_338106_338110_338103_10845_338105_10849_2507234",100
"9","9_G",11,11,"PF02306_","9_G.faa","9_G.fna","489828_338101_338102_338107_338106_338110_338103_10845_338105_10849_2507234",100
"10","10_H",11,11,"PF04687_","10_H.faa","10_H.fna","489828_338101_338102_338107_338106_338110_338103_10845_338105_10849_2507234",100
