"","Gemini_AL1","Gemini_coat","Gemini_BL1","Gemini_AL3","Gemini_AL2","Gemini_V2","Gemini_AL1_M"
"59_BR1",NA,TRUE,NA,NA,NA,NA,NA
"60_BL1",NA,NA,TRUE,NA,NA,NA,NA
"56_AR1",NA,TRUE,NA,NA,NA,NA,NA
"57_AL3",NA,NA,NA,TRUE,NA,NA,NA
"58_AL2",NA,NA,NA,NA,TRUE,NA,NA
"6_AC1",TRUE,NA,NA,NA,NA,NA,TRUE
"30_AV2",NA,NA,NA,NA,NA,TRUE,NA
"752_AV2",NA,NA,NA,NA,NA,TRUE,NA
