Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Pseudomonas-virus-Pf1_taxid_2011081.gbk,Ralstonia-phage-RS603_taxid_1505528.gbk,Ralstonia-phage-RSS0_taxid_1150992.gbk,Ralstonia-phage-RSS1_taxid_384360.gbk,Ralstonia-phage-Rs551_taxid_1852598.gbk,Ralstonia-phage-p12J_taxid_247080.gbk,Stenotrophomonas-phage-PSH1_taxid_2011087.gbk,Stenotrophomonas-phage-SMA6_taxid_1346893.gbk,Stenotrophomonas-phage-SMA7_taxid_1343494.gbk,Stenotrophomonas-phage-SMA9_taxid_334856.gbk,Xanthomonas-phage-Xf109_taxid_1852597.gbk,Xanthomonas-virus-Cf1c_taxid_10862.gbk
1_ssDNA_binding_protei...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
2_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
3_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
4_major_coat_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
5_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
6_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
7_putative_assembly_pr...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
8_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
9_putative_integrase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
10_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
11_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
12_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
13_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
14_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
15_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,1,1,0,0,0,0,0,0
16_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0
17_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,1,1,0,0,0,0,0,0
18_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0
19_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0
20_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,1,0,0,0
21_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0
22_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0
23_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0
24_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,1,1,0,0
25_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0
26_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,1,1,0,0,0,0,0,0
27_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0
28_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0
30_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0
31_major_coat_protein.faa,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0
32_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0
33_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0
34_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0
35_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0
37_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0
38_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0
39_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
40_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0
63_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0
64_putative_resolvase.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0
69_ORF4.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
70_ORF5.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
71_ORF6.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
73_ORF8.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
75_putative_replication...faa,,,,,,,,,,,,,,0,0,1,1,0,0,1,1,1,1,0,0
76_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,1,1,1
78_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,1,0
79_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,1,0,1,1,1,0,0,1,1
80_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,0,0
