cluster	prevalence	term	what	familia	algoritmo
121_putative_replication..	29.82456140350877	viral DNA genome replication [GO:0039693]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
121_putative_replication..	29.82456140350877	endonuclease activity [GO:0004519]	mf	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
121_putative_replication..	29.82456140350877	DNA ligase (ATP) activity [GO:0003910]	mf	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
123_putative_minor_capsi..	29.82456140350877	viral procapsid maturation [GO:0046797]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
123_putative_minor_capsi..	29.82456140350877	viral release from host cell [GO:0019076]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
123_putative_minor_capsi..	29.82456140350877	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
125_putative_major_capsi..	29.82456140350877	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
125_putative_major_capsi..	29.82456140350877	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
125_putative_major_capsi..	29.82456140350877	virion [GO:0019012]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
125_putative_major_capsi..	29.82456140350877	viral capsid, major subunit [GO:0098017]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
125_putative_major_capsi..	29.82456140350877	structural molecule activity [GO:0005198]	mf	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
131_B	28.07017543859649	viral capsid assembly [GO:0019069]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
131_B	28.07017543859649	viral release from host cell [GO:0019076]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
131_B	28.07017543859649	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
131_B	28.07017543859649	viral procapsid [GO:0046729]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
131_B	28.07017543859649	viral scaffold [GO:0046806]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
133_C	28.07017543859649	viral DNA genome packaging [GO:0019073]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
135_E	28.07017543859649	suppression by virus of host peptidoglycan biosynthetic process [GO:0039635]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
135_E	28.07017543859649	enzyme inhibitor activity [GO:0004857]	mf	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
136_J	26.31578947368421	viral procapsid maturation [GO:0046797]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
136_J	26.31578947368421	viral release from host cell [GO:0019076]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
136_J	26.31578947368421	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
136_J	26.31578947368421	virion [GO:0019012]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
136_J	26.31578947368421	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
136_J	26.31578947368421	DNA binding [GO:0003677]	mf	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
138_G	28.07017543859649	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
138_G	28.07017543859649	virion attachment to host cell [GO:0019062]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
138_G	28.07017543859649	modulation by virus of host process [GO:0019048]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
138_G	28.07017543859649	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
138_G	28.07017543859649	virion [GO:0019012]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
138_G	28.07017543859649	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
139_H	28.07017543859649	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
139_H	28.07017543859649	viral procapsid [GO:0046729]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
139_H	28.07017543859649	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
174_J	1.7543859649122806	viral procapsid maturation [GO:0046797]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
174_J	1.7543859649122806	viral release from host cell [GO:0019076]	bp	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
174_J	1.7543859649122806	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
174_J	1.7543859649122806	virion [GO:0019012]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
174_J	1.7543859649122806	viral capsid [GO:0019028]	cc	../results/Get_homologues/Microviridae/Microviridae_all_homologues_19062021_0758/	COG
