cluster	prevalence	term	what	familia	algoritmo
1_BV1	30.859375	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1_BV1	30.859375	viral penetration into host nucleus [GO:0075732]	bp	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1_BV1	30.859375	transport of virus in host, cell to cell [GO:0046740]	bp	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1_BV1	30.859375	DNA transport [GO:0051027]	bp	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1_BV1	30.859375	host cell plasma membrane [GO:0020002]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1_BV1	30.859375	host cell [GO:0043657]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1_BV1	30.859375	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1_BV1	30.859375	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1_BV1	30.859375	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1_BV1	30.859375	metal ion binding [GO:0046872]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1_BV1	30.859375	structural molecule activity [GO:0005198]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1_BV1	30.859375	single-stranded DNA binding [GO:0003697]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
108_av2	8.984375	negative regulation of gene silencing by RNA [GO:0060967]	bp	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
108_av2	8.984375	modulation by virus of host process [GO:0019048]	bp	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
108_av2	8.984375	host cell perinuclear region of cytoplasm [GO:0044220]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
108_av2	8.984375	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
108_av2	8.984375	viral capsid [GO:0019028]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
133_movement_protein	5.46875	transport of virus in host, cell to cell [GO:0046740]	bp	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1339_Rep	0.390625	DNA replication [GO:0006260]	bp	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1339_Rep	0.390625	viral capsid [GO:0019028]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1339_Rep	0.390625	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1339_Rep	0.390625	nucleotidyltransferase activity [GO:0016779]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1339_Rep	0.390625	structural molecule activity [GO:0005198]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1339_Rep	0.390625	helicase activity [GO:0004386]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1339_Rep	0.390625	DNA binding [GO:0003677]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1339_Rep	0.390625	endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1339_Rep	0.390625	metal ion binding [GO:0046872]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
1339_Rep	0.390625	ATP binding [GO:0005524]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
134_capsid_protein	99.21875	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
134_capsid_protein	99.21875	viral penetration into host nucleus [GO:0075732]	bp	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
134_capsid_protein	99.21875	transport of virus in host, cell to cell [GO:0046740]	bp	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
134_capsid_protein	99.21875	DNA transport [GO:0051027]	bp	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
134_capsid_protein	99.21875	host cell plasma membrane [GO:0020002]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
134_capsid_protein	99.21875	host cell [GO:0043657]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
134_capsid_protein	99.21875	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
134_capsid_protein	99.21875	host cell cytoplasm [GO:0030430]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
134_capsid_protein	99.21875	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
134_capsid_protein	99.21875	metal ion binding [GO:0046872]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
134_capsid_protein	99.21875	structural molecule activity [GO:0005198]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
134_capsid_protein	99.21875	single-stranded DNA binding [GO:0003697]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
135_replication_associat..	98.4375	DNA replication [GO:0006260]	bp	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
135_replication_associat..	98.4375	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
135_replication_associat..	98.4375	viral capsid [GO:0019028]	cc	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
135_replication_associat..	98.4375	nucleotidyltransferase activity [GO:0016779]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
135_replication_associat..	98.4375	structural molecule activity [GO:0005198]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
135_replication_associat..	98.4375	DNA binding [GO:0003677]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
135_replication_associat..	98.4375	endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
135_replication_associat..	98.4375	helicase activity [GO:0004386]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
135_replication_associat..	98.4375	metal ion binding [GO:0046872]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
135_replication_associat..	98.4375	ATP binding [GO:0005524]	mf	../results/Get_homologues/Geminiviridae/Geminiviridae_all_homologues_19062021_0435/	COG
