"","Secretin","Rep_1","Phage_DNA_bind","Rep_trans"
"9_Putative_replication..",NA,TRUE,NA,NA
"15_IV",TRUE,NA,NA,NA
"28_putative_phage_DNA_r..",NA,NA,NA,TRUE
"39_single-stranded_DNA_..",NA,NA,TRUE,NA
