Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Avon-Heathcote-Estuary-associated-circular-virus-15_taxid_1618238.gbk,Avon-Heathcote-Estuary-associated-circular-virus-19_taxid_1618242.gbk,Avon-Heathcote-Estuary-associated-circular-virus-27_taxid_1618251.gbk,Avon-Heathcote-Estuary-associated-circular-virus-3_taxid_1618254.gbk,Circoviridae-11-LDMD-2013_taxid_1379715.gbk,Circoviridae-13-LDMD-2013_taxid_1379717.gbk,Circoviridae-14-LDMD-2013_taxid_1379718.gbk,Circoviridae-15-LDMD-2013_taxid_1379719.gbk,Circoviridae-18-LDMD-2013_taxid_1379722.gbk,Circoviridae-5-LDMD-2013_taxid_1379709.gbk,Circoviridae-6-LDMD-2013_taxid_1379710.gbk,Circovirus-like-genome-DCCV-11_taxid_1788439.gbk,Circovirus-like-genome-DCCV-4_taxid_1788444.gbk,Circovirus-like-genome-DCCV-7_taxid_1788447.gbk,Circovirus-like-genome-DCCV-8_taxid_1788448.gbk,Circovirus-like-genome-DHCV-2_taxid_1788451.gbk,Dromedary-stool-associated-circular-ssDNA-virus_taxid_1574422.gbk,Ecklonia-radiata-associated-virus-7_taxid_2480197.gbk,Fur-seal-faeces-associated-circular-DNA-virus_taxid_1353241.gbk,Giant-panda-circovirus-1_taxid_2016456.gbk,Giant-panda-circovirus-3_taxid_2016458.gbk,Human-circovirus-VS6600022_taxid_1525173.gbk,Molossus-molossus-circovirus-2_taxid_1959843.gbk,Po-Circo-like-virus-41_taxid_1105385.gbk,Po-Circo-like-virus-51_taxid_1105386.gbk,Porcine-stool-associated-circular-virus-4_taxid_1475062.gbk,Porcine-stool-associated-circular-virus-5_taxid_1475063.gbk,Porcine-stool-associated-circular-virus-BEL-15V010_taxid_2017724.gbk
1_replication-associat...faa,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2_putative_capsid_prot...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_putative_capsid_prot...faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_putative_capsid_prot...faa,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6_replication-associat...faa,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7_putative_capsid_prot...faa,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
