cluster	prevalence	term	what	familia	algoritmo
1_putative_viral_repli..	66.49214659685863	DNA replication [GO:0006260]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
1_putative_viral_repli..	66.49214659685863	protein-DNA covalent cross-linking [GO:0018142]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
1_putative_viral_repli..	66.49214659685863	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
101_replication_associat..	8.900523560209423	DNA replication [GO:0006260]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
101_replication_associat..	8.900523560209423	protein-DNA covalent cross-linking [GO:0018142]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
101_replication_associat..	8.900523560209423	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
102_replication_associat..	2.094240837696335	DNA replication [GO:0006260]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
102_replication_associat..	2.094240837696335	protein-DNA covalent cross-linking [GO:0018142]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
102_replication_associat..	2.094240837696335	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
152_replication-associat..	0.5235602094240838	DNA replication [GO:0006260]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
152_replication-associat..	0.5235602094240838	protein-DNA covalent cross-linking [GO:0018142]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
152_replication-associat..	0.5235602094240838	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
222_putative_replication..	0.5235602094240838	DNA replication [GO:0006260]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
222_putative_replication..	0.5235602094240838	protein-DNA covalent cross-linking [GO:0018142]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
222_putative_replication..	0.5235602094240838	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
27_putative_capsid_prot..	0.5235602094240838	clathrin-dependent endocytosis of virus by host cell [GO:0075512]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
27_putative_capsid_prot..	0.5235602094240838	permeabilization of host organelle membrane involved in viral entry into host cell [GO:0039665]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
27_putative_capsid_prot..	0.5235602094240838	viral entry via permeabilization of inner membrane [GO:0099008]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
27_putative_capsid_prot..	0.5235602094240838	virion attachment to host cell [GO:0019062]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
27_putative_capsid_prot..	0.5235602094240838	microtubule-dependent intracellular transport of viral material towards nucleus [GO:0075521]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
27_putative_capsid_prot..	0.5235602094240838	viral penetration into host nucleus [GO:0075732]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
27_putative_capsid_prot..	0.5235602094240838	lipid catabolic process [GO:0016042]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
27_putative_capsid_prot..	0.5235602094240838	receptor-mediated virion attachment to host cell [GO:0046813]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
29_replication-associat..	6.282722513089005	DNA replication [GO:0006260]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
29_replication-associat..	6.282722513089005	protein-DNA covalent cross-linking [GO:0018142]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
29_replication-associat..	6.282722513089005	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Circoviridae/Circoviridae_all_homologues_19062021_0417/	OMCL
