"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"1","1_AV2",200,200,"PF01524_PF03716_","1_AV2.faa","1_AV2.fna","1329380_188333_912033_298650_222078_437061_437063_222079_222441_452758_1738045_591160_587620_658650_908028_120168_1076345_1678003_577124_1000665_1000664_172278_326811_649509_1297645_222456_307110_620894_222460_222459_222464_674996_53010_417288_207697_671095_1038082_742163_875324_2020881_498805_390443_186637_269095_519350_223276_335404_436246_412688_270117_1578825_2050584_509531_1428190_199587_163655_1504732_944994_1233675_180587_240865_1530093_569949_1213406_1485012_508750_300411_1740165_2202146_377610_1333313_329290_377462_642493_1633139_911574_290030_222475_508748_360579_390440_1431395_908127_908125_912034_908124_1241370_401040_227137_913600_229634_271479_53260_1931111_223305_884612_519015_83839_881944_260378_1225069_1367126_1198134_420684_435646_1874886_875323_1130981_310103_337823_290090_390441_371401_85753_390439_269275_222474_202568_1899219_1914900_604276_2169737_180526_439423_223332_223334_905054_409287_211866_223337_67762_128941_1632184_1608257_439422_392761_220608_223344_1498504_1955054_693894_507474_1329381_229636_997078_507475_439426_1384631_501328_400835_377609_664980_971271_270140_263001_309390_220932_551531_548915_223345_1303385_996311_223346_260379_302100_507476_439425_439421_2050583_2049944_614034_713949_575917_96054_407837_420254_938276_223352_270146_196093_439427_341035_208177_28350_232380_185793_297249_395349_219744_260377_123735_1391746_1825931_390442_1335768_10832_1001341_367061_1046574_2169744",80.9716599190283
"2","2_AV1",243,243,"PF00844_","2_AV1.faa","2_AV1.fna","1329380_188333_912033_298650_222078_437061_437063_222079_222441_1306546_452758_337826_1738045_591160_587620_658650_908028_120168_1076345_1129032_1678003_577124_1000665_1000664_172278_326811_649509_1297645_222456_307110_620894_222460_222459_222464_674996_53010_223260_417288_207697_671095_1038082_742163_875324_2020881_498805_390443_186637_269095_519350_223276_335404_436246_412688_270117_1578825_2050584_509531_1428190_199587_163655_1504732_944994_1233675_180587_240865_653358_1530093_569949_1213406_1485012_508750_300411_1740165_390444_325111_1129034_2202146_377610_1333313_329290_377462_642493_1633139_911574_676044_290030_222475_508748_360579_390440_1431395_908127_908125_912034_908124_1241370_401040_227137_913600_229634_271479_53260_1931111_223305_884612_519015_83839_881944_260378_1225069_1367126_1198134_420684_435646_1874886_875323_1130981_310103_1884991_666145_536082_337823_191460_536083_1266994_290090_1266977_420255_390441_379728_371401_85753_761701_390439_1432565_269275_222474_202568_2169736_688540_693892_652718_1198219_225752_1489312_1489311_574890_994388_1392388_2026196_2026195_999288_652717_940846_100755_1513529_1513528_1899219_1914900_604276_2169737_180526_439423_223332_223334_905054_409287_211866_223337_67762_128941_1632184_1608257_439422_392761_220608_223344_1498504_1955054_693894_507474_1329381_229636_997078_507475_439426_1384631_501328_400835_377609_664980_971271_270140_263001_309390_220932_551531_548915_223345_1303385_996311_223346_260379_302100_507476_439425_439421_2050583_2049944_614034_713949_575917_96054_407837_420254_938276_223352_270146_634441_196093_439427_341035_208177_28350_232380_185793_297249_395349_219744_260377_123735_1391746_1825931_390442_1335768_10832_1881630_1925153_1001341_367061_1170656_1046574_2169744",98.3805668016194
"3","3_AC3",244,244,"PF01407_","3_AC3.faa","3_AC3.fna","1329380_188333_912033_298650_222078_437061_437063_222079_222441_452758_337826_1738045_591160_587620_658650_908028_120168_1076345_1129032_1678003_577124_1000665_1000664_172278_326811_649509_1297645_222456_307110_620894_222460_222459_222464_674996_53010_223260_417288_207697_671095_1038082_742163_875324_2020881_498805_390443_186637_269095_519350_223276_335404_436246_412688_270117_1578825_2050584_509531_1428190_199587_163655_1504732_944994_1233675_180587_240865_653358_1530093_569949_1213406_1485012_2093273_508750_300411_1740165_390444_325111_1129034_2202146_377610_1333313_329290_377462_642493_1633139_911574_676044_290030_222475_508748_360579_390440_1431395_908127_908125_912034_908124_1241370_401040_227137_913600_229634_271479_53260_1931111_223305_884612_519015_83839_881944_260378_1225069_1367126_1198134_420684_435646_1874886_875323_1130981_310103_1884991_666145_536082_1949198_337823_191460_536083_1266994_290090_1266977_420255_390441_379728_371401_85753_761701_390439_1432565_269275_222474_202568_2169736_688540_693892_652718_1198219_225752_1489312_1489311_574890_994388_1392388_2026196_2026195_999288_652717_940846_100755_1513529_1513528_1899219_1914900_604276_2169737_180526_439423_223332_223334_905054_409287_211866_223337_67762_128941_1632184_1608257_439422_392761_220608_223344_1498504_1955054_693894_507474_1329381_229636_997078_507475_439426_1384631_501328_400835_377609_664980_971271_270140_263001_309390_220932_551531_548915_223345_1303385_996311_223346_260379_302100_507476_439425_439421_2050583_2049944_614034_713949_575917_96054_407837_420254_938276_223352_270146_634441_196093_439427_341035_208177_28350_232380_185793_297249_395349_219744_260377_123735_1391746_1825931_390442_1335768_10832_1881630_1925153_1001341_367061_1170656_1046574_2169744",98.7854251012146
"4","4_AC2",237,237,"PF01440_","4_AC2.faa","4_AC2.fna","1329380_188333_912033_298650_222078_437061_437063_222079_222441_452758_337826_1738045_591160_587620_658650_908028_120168_1076345_1129032_1678003_577124_1000665_1000664_172278_326811_649509_1297645_222456_307110_222460_222459_222464_674996_53010_223260_417288_207697_671095_1038082_742163_875324_2020881_498805_390443_186637_269095_519350_223276_335404_436246_412688_270117_1578825_2050584_509531_1428190_199587_163655_1504732_944994_1233675_180587_240865_1530093_569949_1213406_1485012_2093273_508750_300411_1740165_390444_325111_1129034_2202146_377610_1333313_329290_377462_642493_1633139_911574_676044_290030_222475_508748_360579_390440_1431395_908127_908125_912034_908124_1241370_401040_227137_913600_229634_271479_53260_1931111_223305_884612_519015_83839_881944_260378_1225069_1367126_1198134_420684_435646_1874886_875323_1130981_310103_1884991_666145_536082_1949198_337823_191460_536083_1266994_290090_1266977_420255_390441_379728_371401_85753_761701_390439_1432565_269275_222474_202568_2169736_688540_652718_1198219_1489312_1489311_574890_994388_1392388_2026196_2026195_940846_100755_1513529_1899219_1914900_604276_2169737_180526_439423_223332_223334_905054_409287_211866_223337_67762_128941_1632184_1608257_439422_392761_220608_223344_1498504_1955054_693894_507474_1329381_229636_997078_507475_439426_1384631_501328_400835_377609_664980_971271_270140_263001_309390_220932_551531_548915_223345_1303385_996311_223346_260379_302100_507476_439425_439421_2050583_2049944_614034_713949_575917_96054_407837_420254_938276_223352_270146_634441_196093_439427_341035_208177_28350_232380_185793_297249_395349_219744_260377_123735_1391746_1825931_390442_1335768_10832_1881630_1925153_1001341_367061_1170656_1046574_2169744",95.9514170040486
"5","566_rep",247,244,"PF00799_PF08283_","566_rep.faa","566_rep.fna","1329380_188333_912033_298650_222078_437061_437063_222079_222441_1306546_1306546_452758_337826_1738045_591160_587620_658650_908028_120168_1076345_1129032_1678003_577124_1000665_1000664_172278_326811_649509_222456_307110_620894_222460_222459_222464_674996_53010_223260_417288_207697_671095_1038082_742163_875324_2020881_498805_390443_186637_269095_519350_223276_335404_436246_412688_270117_1578825_2050584_509531_1428190_199587_163655_1504732_944994_1233675_180587_240865_653358_1530093_569949_1213406_1485012_2093273_508750_300411_1740165_390444_325111_1129034_2202146_377610_1333313_329290_377462_642493_1633139_911574_676044_290030_222475_508748_360579_390440_1431395_497863_497863_908127_908125_912034_908124_1241370_401040_227137_913600_229634_271479_53260_1931111_223305_884612_519015_83839_881944_260378_1225069_1367126_1198134_420684_435646_1874886_875323_1130981_310103_1884991_666145_536082_1949198_337823_191460_536083_1266994_290090_1266977_390441_379728_371401_85753_761701_390439_1432565_269275_222474_202568_1868659_1868659_2169736_688540_693892_652718_1198219_225752_1489312_1489311_574890_994388_1392388_2026196_2026195_999288_652717_940846_100755_1513529_1513528_1899219_1914900_604276_2169737_180526_439423_223332_223334_905054_409287_211866_223337_67762_128941_1632184_1608257_439422_392761_220608_223344_1498504_1955054_693894_507474_1329381_229636_997078_507475_439426_1384631_501328_400835_377609_664980_971271_270140_263001_309390_220932_551531_548915_223345_1303385_996311_223346_260379_302100_507476_439421_2050583_2049944_614034_713949_575917_96054_407837_420254_938276_223352_270146_634441_196093_439427_341035_208177_28350_232380_185793_297249_395349_219744_260377_123735_1391746_1825931_390442_1335768_10832_1881630_1925153_1001341_367061_1170656_1046574_2169744",98.7854251012146
"6","6_AC4",233,233,"PF01492_","6_AC4.faa","6_AC4.fna","1329380_188333_912033_298650_222078_437061_437063_222079_222441_452758_337826_591160_587620_658650_908028_120168_1076345_1129032_1678003_577124_1000665_1000664_172278_326811_649509_1297645_222456_307110_620894_222459_222464_674996_53010_223260_417288_207697_671095_1038082_742163_875324_2020881_498805_390443_186637_269095_519350_223276_335404_436246_412688_270117_1578825_2050584_509531_1428190_199587_163655_1504732_944994_1233675_180587_653358_1530093_569949_1213406_1485012_508750_300411_1740165_390444_325111_1129034_2202146_377610_1333313_329290_377462_642493_1633139_911574_676044_290030_222475_508748_360579_390440_1431395_908127_908125_912034_908124_1241370_401040_227137_913600_229634_271479_53260_1931111_223305_884612_519015_83839_881944_260378_1225069_1367126_1198134_420684_435646_1874886_1130981_310103_1884991_666145_536082_1949198_337823_191460_1266994_290090_1266977_420255_390441_379728_371401_85753_761701_390439_222474_202568_2169736_688540_652718_1198219_225752_1489312_1489311_574890_994388_1392388_2026196_2026195_999288_652717_940846_100755_1513529_1899219_1914900_604276_2169737_180526_439423_223332_223334_905054_409287_211866_223337_67762_1632184_1608257_439422_392761_220608_223344_1498504_1955054_693894_507474_1329381_229636_997078_507475_439426_1384631_501328_400835_377609_664980_971271_270140_263001_309390_220932_551531_548915_223345_1303385_996311_223346_260379_302100_507476_439425_439421_2050583_2049944_614034_713949_575917_96054_407837_420254_938276_223352_270146_634441_196093_439427_341035_208177_28350_232380_185793_297249_395349_219744_260377_123735_1391746_1825931_390442_1335768_10832_1881630_1925153_1001341_367061_1170656_1046574_2169744",94.331983805668
"7","55_V4",1,1,"","55_V4.faa","55_V4.fna","1306546",0.404858299595142
"8","56_V2",1,1,"","56_V2.faa","56_V2.fna","1306546",0.404858299595142
"9","57_V3",1,1,"","57_V3.faa","57_V3.fna","1306546",0.404858299595142
"10","61_C3",1,1,"","61_C3.faa","61_C3.fna","1306546",0.404858299595142
"11","68_av2",33,33,"PF01524_","68_av2.faa","68_av2.fna","337826_223260_653358_390444_325111_676044_1884991_420255_379728_761701_1432565_688540_693892_652718_1198219_225752_1489312_1489311_574890_994388_1392388_2026196_2026195_999288_652717_940846_100755_1513529_1513528_634441_1881630_1925153_1170656",13.3603238866397
"12","81_AC5",14,14,"PF04807_","81_AC5.faa","81_AC5.fna","591160_587620_658650_908028_120168_1297645_2050584_1428190_1884991_191460_1899219_693894_341035_1391746",5.66801619433198
"13","172_AC1",1,1,"PF08283_","172_AC1.faa","172_AC1.fna","1297645",0.404858299595142
"14","214_C5",7,7,"PF04807_PF08464_","214_C5.faa","214_C5.fna","53010_1225069_269275_2049944_420254_938276_367061",2.83400809716599
"15","234_AC5",10,10,"PF08464_","234_AC5.faa","234_AC5.fna","207697_269095_508750_1333313_508748_53260_435646_85753_693894_575917",4.04858299595142
"16","350_AC6_protein",3,3,"","350_AC6_protein.faa","350_AC6_protein.fna","1428190_913600_1198134",1.21457489878543
"17","354_AV3_protein",2,2,"","354_AV3_protein.faa","354_AV3_protein.fna","1428190_85753",0.809716599190283
"18","400_C4",4,4,"","400_C4.faa","400_C4.fna","240865_875323_536083_1432565",1.61943319838057
"19","404_C2",6,6,"","404_C2.faa","404_C2.fna","653358_693892_225752_999288_652717_1513528",2.42914979757085
"20","431_movement_protein",2,2,"","431_movement_protein.faa","431_movement_protein.fna","2093273_1949198",0.809716599190283
"21","432_capsid_protein",1,1,"PF00844_","432_capsid_protein.faa","432_capsid_protein.fna","2093273",0.404858299595142
"22","564_V1",2,2,"PF01708_","564_V1.faa","564_V1.fna","497863_1868659",0.809716599190283
"23","565_V2",2,2,"PF00844_","565_V2.faa","565_V2.fna","497863_1868659",0.809716599190283
"24","753_CP",1,1,"","753_CP.faa","753_CP.fna","1949198",0.404858299595142
"25","795_c1",1,1,"PF00799_","795_c1.faa","795_c1.fna","420255",0.404858299595142
"26","863_truncated_V2",1,1,"PF01524_","863_truncated_V2.faa","863_truncated_V2.fna","2169736",0.404858299595142
"27","880_AC4",1,1,"PF00799_PF01492_","880_AC4.faa","880_AC4.fna","693892",0.404858299595142
"28","954_hypothetical_protein",2,2,"","954_hypothetical_protein.faa","954_hypothetical_protein.fna","940846_409287",0.809716599190283
"29","1114_V1",1,1,"PF00844_","1114_V1.faa","1114_V1.fna","693894",0.404858299595142
