cluster	prevalence	term	what	familia	algoritmo
2_replication_associat..	50	DNA replication [GO:0006260]	bp	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
2_replication_associat..	50	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
2_replication_associat..	50	viral capsid [GO:0019028]	cc	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
2_replication_associat..	50	nucleotidyltransferase activity [GO:0016779]	mf	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
2_replication_associat..	50	structural molecule activity [GO:0005198]	mf	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
2_replication_associat..	50	DNA binding [GO:0003677]	mf	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
2_replication_associat..	50	endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]	mf	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
2_replication_associat..	50	helicase activity [GO:0004386]	mf	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
2_replication_associat..	50	metal ion binding [GO:0046872]	mf	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
2_replication_associat..	50	ATP binding [GO:0005524]	mf	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
3_Rep	66.66666666666666	DNA replication [GO:0006260]	bp	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
3_Rep	66.66666666666666	viral capsid [GO:0019028]	cc	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
3_Rep	66.66666666666666	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
3_Rep	66.66666666666666	nucleotidyltransferase activity [GO:0016779]	mf	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
3_Rep	66.66666666666666	structural molecule activity [GO:0005198]	mf	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
3_Rep	66.66666666666666	helicase activity [GO:0004386]	mf	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
3_Rep	66.66666666666666	DNA binding [GO:0003677]	mf	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
3_Rep	66.66666666666666	endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]	mf	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
3_Rep	66.66666666666666	metal ion binding [GO:0046872]	mf	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
3_Rep	66.66666666666666	ATP binding [GO:0005524]	mf	../results/Get_homologues/Genomoviridae/cluster_9_homologues_19062021_0746/	OMCL
