"","GO:0003743","GO:0003677","GO:0031492","GO:0051575","GO:0003697","GO:0000150","GO:0017108","GO:0008933","GO:0003696","GO:0035497","GO:0035501","GO:0035500","GO:0070742","GO:0035731","GO:0004677","GO:0003680","GO:0003916","GO:0050404"
"7_putative_assembly_pr..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"24_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"75_putative_replication..",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"79_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"37_hypothetical_protein",NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
"39_hypothetical_protein",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64_putative_resolvase",NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73_ORF8",NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
"76_hypothetical_protein",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
