QueryID,SubjectID,Perc.Ident,Alignment.Length,Mismatches,Gap.Openings,Q.start,Q.end,S.start,S.end,E,Bits
ID:YP_001661660.1,ID:YP_001661660.1,100,286,0,0,1,286,1,286,0,598
ID:YP_001661660.1,ID:NP_604483.1,86.713,286,38,0,1,286,1,286,0,538
ID:YP_001661660.1,ID:YP_009508038.1,85.315,286,42,0,1,286,1,286,0,530
ID:YP_001661660.1,ID:NP_620694.1,58.803,284,117,0,1,284,1,284,1.06e-127,355
ID:YP_001661660.1,ID:YP_008997797.1,57.042,284,122,0,1,284,1,284,7.34e-127,353
ID:YP_001661660.1,ID:YP_003104737.1,57.394,284,121,0,1,284,1,284,1.83e-125,350
ID:YP_001661660.1,ID:YP_009508219.1,56.69,284,123,0,1,284,1,284,4.65e-124,346
ID:YP_001661660.1,ID:NP_619769.1,57.394,284,121,0,1,284,1,284,5.72e-124,346
ID:YP_001661660.1,ID:YP_009553298.1,58.451,284,118,0,1,284,1,284,7.22e-123,343
ID:YP_001661660.1,ID:YP_008997794.1,56.993,286,123,0,1,286,1,286,1.07e-122,342
ID:YP_001661660.1,ID:NP_619567.1,56.69,284,123,0,1,284,1,284,1.93e-122,342
ID:YP_001661660.1,ID:YP_008992018.1,57.692,286,121,0,1,286,1,286,1.01e-120,337
ID:NP_604483.1,ID:NP_604483.1,100,286,0,0,1,286,1,286,0,602
ID:NP_604483.1,ID:YP_009508038.1,89.161,286,31,0,1,286,1,286,0,553
ID:NP_604483.1,ID:YP_001661660.1,86.713,286,38,0,1,286,1,286,0,538
ID:NP_604483.1,ID:NP_620694.1,56.338,284,124,0,1,284,1,284,2.75e-126,352
ID:NP_604483.1,ID:YP_008997797.1,53.873,284,131,0,1,284,1,284,3.75e-123,343
ID:NP_604483.1,ID:YP_003104737.1,54.225,284,130,0,1,284,1,284,5.2e-123,343
ID:NP_604483.1,ID:NP_619567.1,54.225,284,130,0,1,284,1,284,2.39e-121,339
ID:NP_604483.1,ID:NP_619769.1,54.225,284,130,0,1,284,1,284,3.82e-121,338
ID:NP_604483.1,ID:YP_009508219.1,53.521,284,132,0,1,284,1,284,4.26e-121,338
ID:NP_604483.1,ID:YP_009553298.1,55.282,284,127,0,1,284,1,284,1.08e-120,337
ID:NP_604483.1,ID:YP_008997794.1,53.147,286,134,0,1,286,1,286,6.62e-120,335
ID:NP_604483.1,ID:YP_008992018.1,54.895,286,129,0,1,286,1,286,1.01e-119,335
ID:YP_008997797.1,ID:YP_008997797.1,100,286,0,0,1,286,1,286,0,599
ID:YP_008997797.1,ID:YP_003104737.1,91.958,286,23,0,1,286,1,286,0,564
ID:YP_008997797.1,ID:NP_619769.1,91.608,286,24,0,1,286,1,286,0,557
ID:YP_008997797.1,ID:NP_619567.1,91.259,286,25,0,1,286,1,286,0,555
ID:YP_008997797.1,ID:YP_009508219.1,89.86,286,29,0,1,286,1,286,0,554
ID:YP_008997797.1,ID:YP_008997794.1,84.266,286,45,0,1,286,1,286,0,521
ID:YP_008997797.1,ID:NP_620694.1,82.168,286,51,0,1,286,1,286,0,515
ID:YP_008997797.1,ID:YP_009553298.1,85.315,286,42,0,1,286,1,286,0,507
ID:YP_008997797.1,ID:YP_008992018.1,84.859,284,43,0,1,284,1,284,0,504
ID:YP_008997797.1,ID:YP_001661660.1,57.042,284,122,0,1,284,1,284,7.34e-127,353
ID:YP_008997797.1,ID:YP_009508038.1,55.634,284,126,0,1,284,1,284,4.68e-125,348
ID:YP_008997797.1,ID:NP_604483.1,53.873,284,131,0,1,284,1,284,3.75e-123,343
ID:YP_009508038.1,ID:YP_009508038.1,100,286,0,0,1,286,1,286,0,598
ID:YP_009508038.1,ID:NP_604483.1,89.161,286,31,0,1,286,1,286,0,553
ID:YP_009508038.1,ID:YP_001661660.1,85.315,286,42,0,1,286,1,286,0,530
ID:YP_009508038.1,ID:NP_620694.1,57.394,284,121,0,1,284,1,284,4.15e-127,353
ID:YP_009508038.1,ID:YP_008997797.1,55.634,284,126,0,1,284,1,284,4.68e-125,348
ID:YP_009508038.1,ID:YP_003104737.1,54.93,284,128,0,1,284,1,284,2.76e-123,344
ID:YP_009508038.1,ID:NP_619567.1,55.282,284,127,0,1,284,1,284,7.8e-123,343
ID:YP_009508038.1,ID:YP_009553298.1,57.394,284,121,0,1,284,1,284,2.18e-122,342
ID:YP_009508038.1,ID:NP_619769.1,55.282,284,127,0,1,284,1,284,2.68e-122,342
ID:YP_009508038.1,ID:YP_009508219.1,54.225,284,130,0,1,284,1,284,4.6e-121,338
ID:YP_009508038.1,ID:YP_008997794.1,54.577,284,129,0,1,284,1,284,4.18e-120,336
ID:YP_009508038.1,ID:YP_008992018.1,55.282,284,127,0,1,284,1,284,1.08e-117,330
ID:YP_009553298.1,ID:YP_009553298.1,100,286,0,0,1,286,1,286,0,602
ID:YP_009553298.1,ID:YP_008997794.1,88.028,284,34,0,1,284,1,284,0,535
ID:YP_009553298.1,ID:YP_003104737.1,87.413,286,36,0,1,286,1,286,0,534
ID:YP_009553298.1,ID:NP_619769.1,87.063,286,37,0,1,286,1,286,0,531
ID:YP_009553298.1,ID:YP_009508219.1,84.965,286,43,0,1,286,1,286,0,528
ID:YP_009553298.1,ID:YP_008997797.1,85.315,286,42,0,1,286,1,286,0,526
ID:YP_009553298.1,ID:NP_619567.1,85.664,286,41,0,1,286,1,286,0,525
ID:YP_009553298.1,ID:NP_620694.1,82.168,286,51,0,1,286,1,286,0,515
ID:YP_009553298.1,ID:YP_008992018.1,87.676,284,35,0,1,284,1,284,0,512
ID:YP_009553298.1,ID:YP_001661660.1,58.451,284,118,0,1,284,1,284,2.64e-128,357
ID:YP_009553298.1,ID:YP_009508038.1,57.394,284,121,0,1,284,1,284,3.91e-128,356
ID:YP_009553298.1,ID:NP_604483.1,55.282,284,127,0,1,284,1,284,4.71e-126,351
ID:YP_003104737.1,ID:YP_003104737.1,100,286,0,0,1,286,1,286,0,599
ID:YP_003104737.1,ID:NP_619769.1,93.706,286,18,0,1,286,1,286,0,570
