"","0016021","0003677","0033644","0005198","0019028","0006260","0016032","0046740","0019048","0060967","0030430","0016888"
"1_BV1",NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"2_BC1",NA,TRUE,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"134_capsid_protein",NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"4_AC3",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
"5_AC2",NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"135_replication_associat..",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE
"33_AV2",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
"136_RepA",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE
"108_av2",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
"133_movement_protein",TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"485_AC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"1339_Rep",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
"1375_V2",NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"2062_BV1",NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"2123_truncated_V2",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
"2140_AC4",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
