cluster59_BR1	size111	taxa111	PfamPF00844,	file59_BR1.faa	dnafile59_BR1.fna	665102_932071_1046572_10815_1611435_31602_1227354_10838_222445_220340_536081_51336_1311277_47838_1747500_1915203_390436_403897_293284_1396815_77647_134681_1227356_1227357_94700_598494_263793_1198450_1490227_1982675_75574_390437_1904881_51676_2021666_223284_169865_1129033_1906668_376612_1742594_1742595_223286_180399_714309_223287_33726_619599_327280_1737555_648801_1772258_1742596_223301_223303_223307_223308_10827_889202_1513519_457286_714308_889203_529680_1904882_1949196_1904883_1264880_929769_223313_871521_223316_51034_759390_929766_228897_1046571_932069_932070_367850_408719_1093958_223321_932073_761702_1221206_10829_223324_1051966_336987_565052_983437_1701549_172391_10831_223342_71186_1124577_223358_10835_134599_1162280_158463_649996_260909_86502_365523_1825950_667119_1046573_51673
cluster60_BL1	size110	taxa110	PfamPF00845,	file60_BL1.faa	dnafile60_BL1.fna	665102_932071_1046572_10815_1611435_31602_1227354_10838_222445_220340_536081_51336_1311277_47838_1747500_1915203_390436_403897_293284_1396815_77647_134681_1227356_1227357_94700_598494_263793_1198450_1490227_1982675_75574_390437_1904881_51676_2021666_223284_169865_1129033_1906668_376612_1742594_1742595_223286_180399_714309_223287_33726_619599_327280_1737555_648801_1772258_1742596_223301_223303_223307_223308_10827_889202_1513519_457286_714308_889203_529680_1904882_1949196_1904883_1264880_929769_223313_871521_223316_51034_759390_228897_1046571_932069_932070_367850_408719_1093958_223321_932073_761702_1221206_10829_223324_1051966_336987_565052_983437_1701549_172391_10831_223342_71186_1124577_223358_10835_134599_1162280_158463_649996_260909_86502_365523_1825950_667119_1046573_51673
cluster56_AR1	size111	taxa111	PfamPF00844,	file56_AR1.faa	dnafile56_AR1.fna	665102_932071_1046572_10815_1611435_31602_1227354_10838_222445_220340_536081_51336_1311277_47838_1747500_1915203_390436_403897_293284_1396815_77647_134681_1227356_1227357_94700_598494_263793_1198450_1490227_1982675_75574_390437_1904881_51676_2021666_223284_169865_1129033_1906668_376612_1742594_1742595_223286_180399_714309_223287_33726_619599_327280_1737555_648801_1772258_1742596_223301_223303_223307_223308_10827_889202_1513519_457286_714308_889203_529680_1904882_1949196_1904883_1264880_929769_223313_871521_223316_51034_759390_929766_228897_1046571_932069_932070_367850_408719_1093958_223321_932073_761702_1221206_10829_223324_1051966_336987_565052_983437_1701549_172391_10831_223342_71186_1124577_223358_10835_134599_1162280_158463_649996_260909_86502_365523_1825950_667119_1046573_51673
cluster57_AL3	size110	taxa110	PfamPF01407,	file57_AL3.faa	dnafile57_AL3.fna	665102_932071_1046572_10815_1611435_31602_1227354_10838_222445_220340_536081_51336_1311277_47838_1747500_1915203_390436_403897_293284_1396815_77647_134681_1227356_1227357_94700_598494_263793_1198450_1490227_1982675_75574_390437_1904881_51676_2021666_223284_169865_1129033_1906668_1742594_1742595_223286_180399_714309_223287_33726_619599_327280_1737555_648801_1772258_1742596_223301_223303_223307_223308_10827_889202_1513519_457286_714308_889203_529680_1904882_1949196_1904883_1264880_929769_223313_871521_223316_51034_759390_929766_228897_1046571_932069_932070_367850_408719_1093958_223321_932073_761702_1221206_10829_223324_1051966_336987_565052_983437_1701549_172391_10831_223342_71186_1124577_223358_10835_134599_1162280_158463_649996_260909_86502_365523_1825950_667119_1046573_51673
cluster58_AL2	size108	taxa108	PfamPF01440,	file58_AL2.faa	dnafile58_AL2.fna	665102_932071_1046572_10815_1611435_31602_1227354_10838_222445_220340_536081_51336_1311277_47838_1747500_1915203_390436_403897_293284_1396815_77647_134681_1227356_1227357_94700_598494_263793_1198450_1490227_1982675_75574_390437_1904881_51676_2021666_223284_169865_1129033_1906668_376612_1742594_1742595_223286_180399_714309_223287_619599_327280_1737555_648801_1772258_1742596_223301_223303_223307_223308_10827_889202_1513519_457286_714308_889203_529680_1904882_1949196_1904883_1264880_223313_871521_223316_51034_759390_929766_228897_1046571_932069_932070_367850_408719_1093958_223321_932073_761702_1221206_10829_223324_1051966_336987_565052_983437_1701549_172391_10831_223342_71186_223358_10835_134599_1162280_158463_649996_260909_86502_365523_1825950_667119_1046573_51673
cluster6_AC1	size109	taxa109	PfamPF00799,PF08283,	file6_AC1.faa	dnafile6_AC1.fna	665102_932071_1046572_10815_1611435_31602_1227354_10838_220340_536081_51336_1311277_47838_1747500_1915203_390436_403897_293284_1396815_77647_134681_1227356_1227357_94700_598494_263793_1198450_1490227_1982675_75574_390437_1904881_51676_2021666_223284_169865_1129033_1906668_376612_1742594_1742595_223286_180399_714309_223287_33726_619599_327280_1737555_648801_1772258_1742596_223301_223303_223307_223308_10827_889202_1513519_457286_714308_889203_529680_1904882_1949196_1904883_1264880_223313_871521_223316_51034_759390_929766_228897_1046571_932069_932070_367850_408719_1093958_223321_932073_761702_1221206_10829_223324_1051966_336987_565052_983437_1701549_172391_10831_223342_71186_1124577_223358_10835_134599_1162280_158463_649996_260909_86502_365523_1825950_667119_1046573_51673
cluster7_AC4	size11	taxa11		file7_AC4.faa	dnafile7_AC4.fna	665102_1046572_31602_51336_1311277_1396815_1198450_1982675_180399_1513519_1162280
cluster12_AC4	size71	taxa71	PfamPF01492,	file12_AC4.faa	dnafile12_AC4.fna	932071_1611435_1227354_536081_47838_1747500_1915203_390436_293284_1227356_1227357_263793_1490227_75574_390437_1904881_2021666_223284_169865_1129033_1906668_376612_1742594_1742595_223287_33726_327280_1737555_648801_1772258_1742596_223307_223308_889202_889203_529680_1904882_1949196_1904883_1264880_929769_223313_871521_223316_51034_759390_929766_228897_1046571_932069_932070_367850_1093958_223321_932073_761702_336987_565052_1701549_172391_10831_223342_71186_158463_649996_260909_86502_1825950_667119_1046573_51673
cluster30_AV2	size7	taxa7	PfamPF01524,	file30_AV2.faa	dnafile30_AV2.fna	1611435_263793_390437_223287_33726_529680_667119
cluster64_orf6	size1	taxa1		file64_orf6.faa	dnafile64_orf6.fna	220340
