source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Inoviridae/cluster_1_homologues_19062021_0754_intersection	1_II.faa	2_X.faa	3_V.faa	4_VII.faa	5_IX.faa	6_VIII.faa	7_III.faa	8_VI.faa	9_I.faa	10_IV.faa	12_IV.faa	13_replication_initiati...faa	14_X.faa	15_gene_V_product.faa	16_VII.faa	17_IX.faa	19_III.faa	42_hypothetical_protein.faa	44_hypothetical_protein.faa	45_hypothetical_protein.faa	46_hypothetical_protein.faa	49_hypothetical_protein.faa	50_hypothetical_protein.faa	51_hypothetical_protein.faa	52_hypothetical_protein.faa	54_ssDNA-binding_protei...faa	55_hypothetical_protein.faa	57_minor_capsid_protein.faa	61_hypothetical_protein.faa	62_hypothetical_protein.faa	65_hypothetical_protein.faa	66_major_capsid_protein.faa	67_putative_minor_capsi...faa	69_putative_minor_coat_...faa	70_putative_assembly_pr...faa	73_hypothetical_protein.faa	76_prim-VSK.faa	81_major_coat_protein.faa	82_memb2.faa	85_VSK-tox1.faa	86_VSK_tox2.faa	87_hypothetical_protein.faa	88_DNA_replication_init...faa	89_hypothetical_protein.faa	90_Vpf76.faa	93_hypothetical_protein.faa	94_putative_assembly_pr...faa	95_Vpf215.faa	103_hypothetical_protein.faa	104_hypothetical_protein.faa	107_hypothetical_protein.faa
Enterobacteria-phage-fd_taxid_10864.gbk	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia-virus-I22_taxid_10869.gbk	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia-virus-M13_taxid_1977402.gbk	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmonella-phage-IKe_taxid_10867.gbk	1	1	1	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio-phage-KSF1_taxid_292443.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0
Vibrio-phage-VCY-phi_taxid_1105327.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
Vibrio-phage-VEJphi_taxid_642111.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Vibrio-phage-VSK_taxid_181604.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
Vibrio-phage-VfO4K68_taxid_127508.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
Vibrio-virus-fs1_taxid_70203.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1
