"","GO:0020002","GO:0043657","GO:0042025","GO:0019028","GO:0044220","GO:0030430","GO:0039615","GO:0044167"
"1_BV1",TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA
"2_BC1",NA,NA,NA,NA,NA,NA,NA,TRUE
"134_capsid_protein",TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA
"5_AC2",NA,NA,TRUE,TRUE,NA,TRUE,NA,NA
"135_replication_associat..",NA,NA,TRUE,TRUE,NA,NA,NA,NA
"33_AV2",NA,NA,NA,TRUE,TRUE,TRUE,NA,NA
"136_RepA",NA,NA,TRUE,TRUE,NA,NA,NA,NA
"108_av2",NA,NA,NA,TRUE,TRUE,TRUE,NA,NA
"485_AC1",NA,NA,TRUE,TRUE,NA,NA,NA,NA
"1339_Rep",NA,NA,TRUE,TRUE,NA,NA,NA,NA
"1375_V2",TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA
"2062_BV1",TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA
"2123_truncated_V2",NA,NA,NA,TRUE,TRUE,TRUE,NA,NA
"2140_AC4",NA,NA,TRUE,TRUE,NA,NA,NA,NA
