source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Tolecusatellitidae/cluster_1_homologues_19062021_0822_intersection	1_C1.faa	46_c1.faa
Ageratum	1	0
Ageratum leaf curl betasatellite	1	0
Ageratum yellow leaf curl betasatellite	1	0
Ageratum yellow vein China betasatellite	1	0
Ageratum yellow vein India betasatellite	1	0
Ageratum yellow vein Sri Lanka betasatellite	1	0
Ageratum yellow vein betasatellite	1	0
Andrographis yellow vein leaf curl betasatellite	1	0
Ban5	1	0
Bhendi yellow vein betasatellite	1	0
Bitter gourd leaf curl betasatellite	1	0
Chayote yellow mosaic Benin betasatellite	1	0
Cotton leaf curl Bangalore betasatellite	1	0
Cotton leaf curl Burewala betasatellite	1	0
Cotton leaf curl Gezira betasatellite	1	0
Cotton leaf curl Multan betasatellite	1	0
Cotton leaf curl betasatellite	1	0
Cowpea severe leaf curl-associated DNA beta	1	0
Croton yellow vein mosaic betasatellite	1	0
Emilia yellow vein virus-associated DNA beta	1	0
Erectites yellow mosaic virus satellite DNA beta	1	0
Eupatorium yellow vein betasatellite	1	0
Eupatorium yellow vein mosaic betasatellite	1	0
GD13	1	0
Honeysuckle yellow vein betasatellite	1	0
Ibaraki	1	0
India/Jaunpur/Chilli/2007	1	0
India:Amadalavalasa:Hibiscus:2007	1	0
India:Aurangabad:OY164:2006	1	0
India:Coimbator:OYCO1:2005	1	0
India:Sonipat:EL10:2006	1	0
Japan:Fukui:2001	1	0
Kochi	1	0
Leucas zeylanica yellow vein virus satellite DNA beta	1	0
Lindernia anagallis yellow vein virus satellite DNA beta	1	0
Ludwigia yellow vein virus-associated DNA beta	1	0
Luffa begomovirus betasatellite	1	0
Malachra yellow vein mosaic betasatellite	1	0
Malachra yellow vein mosaic virus-associated satellite DNA beta	1	0
Malvastrum yellow vein Yunnan virus satellite DNA beta	1	0
Mesta yellow vein mosaic virus-associated DNA beta	1	0
Mirabilis leaf curl betasatellite	1	0
Okra leaf curl Mali virus satellite DNA beta	1	0
Okra leaf curl Oman betasatellite	1	0
Pakistan:20-4:06	1	0
Pakistan:Multan:Pedilanthus:2004	1	0
Papaya leaf curl betasatellite	1	0
Potato apical leaf curl disease-associated satellite DNA beta	1	0
Radish leaf curl betasatellite	1	0
Rose leaf curl betasatellite	1	0
Sida leaf curl virus-associated DNA beta	1	0
Sida yellow vein virus satellite DNA beta	0	1
Siegesbeckia yellow vein betasatellite	1	0
Tobacco curly shoot betasatellite	1	0
Tobacco leaf chlorosis betasatellite	1	0
Tobacco leaf curl Japan betasatellite	1	0
Tobacco leaf curl Patna betasatellite	1	0
Tobacco leaf curl Yunnan betasatellite	1	0
Tobacco leaf curl disease associated sequence	1	0
Tomato begomovirus satellite DNA beta	1	0
Tomato leaf curl China betasatellite	1	0
Tomato leaf curl Gandhinagar betasatellite	1	0
Tomato leaf curl Hajipur betasatellite	1	0
Tomato leaf curl Joydebpur betasatellite	1	0
Tomato leaf curl Karnataka betasatellite	1	0
Tomato leaf curl Laguna betasatellite	1	0
Tomato leaf curl Laos betasatellite	1	0
Tomato leaf curl Malaysia betasatellite	1	0
Tomato leaf curl Nepal betasatellite	1	0
Tomato leaf curl Pakistan betasatellite	1	0
Tomato leaf curl Patna betasatellite	1	0
Tomato leaf curl Philippine betasatellite	1	0
Tomato leaf curl Yemen betasatellite	1	0
Tomato leaf curl Yunnan betasatellite	1	0
Tomato yellow leaf curl China betasatellite	1	0
Tomato yellow leaf curl Shandong betasatellite	1	0
Tomato yellow leaf curl Thailand betasatellite	1	0
Tomato yellow leaf curl Vietnam betasatellite	1	0
Tomato yellow leaf curl Yunnan betasatellite	1	0
Tomato yellow leaf curl betasatellite	1	0
Y322	1	0
Zinnia leaf curl virus-associated DNA beta	1	0
