"","PPV_E1_C","Parvo_coat","Parvo_NS1","Denso_VP4","Parvo_coat_N"
"2_Putative_nonstructur..",NA,NA,TRUE,NA,NA
"4_Putative_structural_..",NA,NA,NA,TRUE,NA
"5_Putative_structural_..",NA,NA,NA,NA,TRUE
"9_VP1",NA,NA,NA,TRUE,TRUE
"10_nonstructural_protei..",NA,NA,TRUE,NA,NA
"11_capsid_protein",NA,TRUE,NA,NA,TRUE
"14_Rep_40_protein",NA,NA,TRUE,NA,NA
"17_major_coat_protein_V..",NA,TRUE,NA,NA,NA
"33_NS1",NA,NA,TRUE,NA,NA
"36_NS1",TRUE,NA,TRUE,NA,NA
"39_hypothetical_protein",NA,NA,TRUE,NA,NA
"51_Cap",NA,TRUE,NA,NA,TRUE
"63_VP2",NA,TRUE,NA,NA,NA
"87_putative_VP1",NA,NA,NA,TRUE,TRUE
"90_capsid_protein_VP",NA,NA,TRUE,NA,TRUE
"115_NS1",NA,NA,TRUE,NA,NA
"137_polyprotein",NA,NA,TRUE,NA,NA
"139_hypothetical_protein",NA,TRUE,NA,NA,NA
"146_VP",NA,NA,NA,TRUE,TRUE
"166_cap",NA,NA,TRUE,NA,NA
"168_non-structural_prote..",NA,NA,TRUE,NA,NA
"173_nonstructural_protei..",NA,NA,TRUE,NA,NA
"177_putative_structural_..",NA,NA,NA,TRUE,NA
"178_putative_structural_..",NA,NA,NA,NA,TRUE
"219_NS1",TRUE,NA,NA,NA,NA
"280_NS1",NA,NA,TRUE,NA,NA
"320_putative_nonstructur..",NA,NA,TRUE,NA,NA
"336_cap",NA,NA,NA,NA,TRUE
"358_putative_structural_..",NA,NA,NA,NA,TRUE
"417_non-structural_prote..",NA,NA,TRUE,NA,NA
"468_structural_protein",NA,NA,NA,TRUE,TRUE
"491_VP1",NA,NA,NA,NA,TRUE
