source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Pleolipoviridae/Pleolipoviridae_all_homologues_19062021_0818_intersection	Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk	Haloarcula-hispanica-pleomorphic-virus-4_taxid_1980140.gbk	Halogeometricum-pleomorphic-virus-1_taxid_1156722.gbk	Halorubrum-pleomorphic-virus-10_taxid_2507576.gbk	Halorubrum-pleomorphic-virus-11_taxid_2507577.gbk	Halorubrum-pleomorphic-virus-12_taxid_2507578.gbk	Halorubrum-pleomorphic-virus-1_taxid_634168.gbk	Halorubrum-pleomorphic-virus-2_taxid_1156719.gbk	Halorubrum-pleomorphic-virus-3_taxid_1156720.gbk	Halorubrum-pleomorphic-virus-6_taxid_1156721.gbk	
1_VP1.faa	1	1	0	0	0	0	0	0	0	0	
2_putative_protein_2.faa	1	1	0	0	0	0	0	0	0	0	
4_putative_protein_4.faa	1	1	0	0	0	0	0	0	0	0	
5_putative_protein_5.faa	1	1	0	0	0	0	0	0	1	0	
7_putative_protein_7.faa	1	1	1	1	1	1	0	0	1	0	
8_putative_protein_8.faa	1	0	0	0	0	0	0	0	0	0	
9_putative_protein_9.faa	1	0	0	0	0	0	0	0	0	0	
10_putative_protein_10.faa	1	0	0	0	0	0	0	0	0	0	
11_putative_protein_11.faa	1	1	1	1	1	1	0	0	1	0	
12_putative_protein_12.faa	1	1	0	0	0	0	0	0	0	0	
13_putative_protein_13.faa	1	1	0	0	0	0	0	0	0	0	
14_putative_protein_14.faa	1	1	0	0	0	0	0	0	0	0	
15_putative_protein_15.faa	1	0	0	0	0	0	0	0	0	0	
16_putative_protein_16.faa	1	1	0	0	0	0	0	0	0	0	
17_putative_protein_17.faa	1	1	0	0	0	0	0	0	0	0	
18_integrase.faa	0	1	0	0	0	0	0	0	0	0	
19_hypothetical_protein.faa	0	1	0	0	0	0	0	0	0	0	
20_PhiH1_repressor.faa	0	2	0	0	0	0	0	0	0	0	
22_hypothetical_protein.faa	0	1	0	0	0	0	0	0	0	0	
23_hypothetical_protein.faa	0	1	0	0	0	0	0	0	0	0	
32_hypothetical_protein.faa	0	1	0	0	0	0	0	0	0	0	
34_hypothetical_protein.faa	0	1	0	0	0	0	0	0	0	0	
35_hypothetical_protein.faa	0	1	0	0	0	0	0	0	0	0	
36_hypothetical_protein.faa	0	1	0	0	0	0	0	0	0	0	
41_hypothetical_protein.faa	0	1	0	0	0	0	0	0	0	0	
42_ORF1.faa	0	0	1	0	0	0	0	0	0	0	
43_2.faa	0	0	1	1	1	1	0	0	0	0	
44_3.faa	0	0	1	0	0	0	0	0	0	0	
49_ORF8.faa	0	0	1	0	0	0	0	0	0	0	
51_ORF10.faa	0	0	1	0	0	0	0	0	0	0	
52_ORF11.faa	0	0	1	0	0	0	0	0	0	0	
53_ORF12.faa	0	0	1	0	0	0	0	0	0	0	
54_ORF13.faa	0	0	1	1	1	1	0	0	0	0	
56_ORF15.faa	0	0	1	0	0	0	0	0	0	0	
58_hypothetical_protein.faa	0	0	0	1	1	1	0	0	0	0	
59_hypothetical_protein.faa	0	0	0	1	1	1	0	0	0	0	
65_hypothetical_protein.faa	0	0	0	1	1	1	0	0	0	0	
68_hypothetical_protein.faa	0	0	0	1	1	1	0	0	0	0	
69_ORF12.faa	0	0	0	1	1	1	0	0	1	0	
78_hypothetical_protein.faa	0	0	0	0	1	1	0	0	0	0	
83_hypothetical_protein.faa	0	0	0	0	1	1	0	0	0	0	
97_AdoMet-MTase.faa	0	0	0	0	0	1	0	0	0	0	
101_hypothetical_protein.faa	0	0	0	0	0	0	1	0	0	0	
102_hypothetical_protein.faa	0	0	0	0	0	0	1	0	0	0	
103_VP3.faa	0	0	0	0	0	0	1	1	0	1	
104_VP4_precursor.faa	1	1	1	1	1	1	1	1	1	1	
105_hypothetical_protein.faa	0	0	0	0	0	0	1	0	0	0	
108_VP8.faa	1	1	1	1	1	1	1	0	1	0	
109_hypothetical_protein.faa	0	0	0	0	0	0	1	0	0	0	
110_ORF1.faa	0	0	0	0	0	0	0	1	0	1	
111_ORF2.faa	0	0	0	0	0	0	0	1	0	0	
112_ORF3.faa	0	0	0	0	0	0	0	1	0	1	
117_ORF8.faa	0	0	0	0	0	0	0	1	0	1	
118_ORF9.faa	0	0	0	0	0	0	0	1	0	0	
119_ORF10.faa	0	0	0	0	0	0	0	1	0	0	
120_ORF11.faa	0	0	0	0	0	0	0	1	0	0	
121_ORF12.faa	0	0	0	0	0	0	0	1	0	0	
124_ORF15.faa	0	0	0	0	0	0	0	1	0	1	
125_1.faa	0	0	0	0	0	0	0	0	1	0	
127_ORF3.faa	0	0	0	0	0	0	0	0	1	0	
131_ORF7.faa	0	0	0	0	0	0	0	0	1	0	
132_ORF8.faa	0	0	0	0	0	0	0	0	1	0	
134_ORF10.faa	0	0	0	0	0	0	0	0	1	0	
135_ORF11.faa	0	0	0	0	0	0	0	0	1	0	
138_ORF2.faa	0	0	0	0	0	0	0	0	0	1	
145_ORF9.faa	0	0	0	0	0	0	0	0	0	1	
