"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"1","59_BR1",111,111,"PF00844_","59_BR1.faa","59_BR1.fna","665102_932071_1046572_10815_1611435_31602_1227354_10838_222445_220340_536081_51336_1311277_47838_1747500_1915203_390436_403897_293284_1396815_77647_134681_1227356_1227357_94700_598494_263793_1198450_1490227_1982675_75574_390437_1904881_51676_2021666_223284_169865_1129033_1906668_376612_1742594_1742595_223286_180399_714309_223287_33726_619599_327280_1737555_648801_1772258_1742596_223301_223303_223307_223308_10827_889202_1513519_457286_714308_889203_529680_1904882_1949196_1904883_1264880_929769_223313_871521_223316_51034_759390_929766_228897_1046571_932069_932070_367850_408719_1093958_223321_932073_761702_1221206_10829_223324_1051966_336987_565052_983437_1701549_172391_10831_223342_71186_1124577_223358_10835_134599_1162280_158463_649996_260909_86502_365523_1825950_667119_1046573_51673",100
"2","60_BL1",110,110,"PF00845_","60_BL1.faa","60_BL1.fna","665102_932071_1046572_10815_1611435_31602_1227354_10838_222445_220340_536081_51336_1311277_47838_1747500_1915203_390436_403897_293284_1396815_77647_134681_1227356_1227357_94700_598494_263793_1198450_1490227_1982675_75574_390437_1904881_51676_2021666_223284_169865_1129033_1906668_376612_1742594_1742595_223286_180399_714309_223287_33726_619599_327280_1737555_648801_1772258_1742596_223301_223303_223307_223308_10827_889202_1513519_457286_714308_889203_529680_1904882_1949196_1904883_1264880_929769_223313_871521_223316_51034_759390_228897_1046571_932069_932070_367850_408719_1093958_223321_932073_761702_1221206_10829_223324_1051966_336987_565052_983437_1701549_172391_10831_223342_71186_1124577_223358_10835_134599_1162280_158463_649996_260909_86502_365523_1825950_667119_1046573_51673",99.0990990990991
"3","56_AR1",111,111,"PF00844_","56_AR1.faa","56_AR1.fna","665102_932071_1046572_10815_1611435_31602_1227354_10838_222445_220340_536081_51336_1311277_47838_1747500_1915203_390436_403897_293284_1396815_77647_134681_1227356_1227357_94700_598494_263793_1198450_1490227_1982675_75574_390437_1904881_51676_2021666_223284_169865_1129033_1906668_376612_1742594_1742595_223286_180399_714309_223287_33726_619599_327280_1737555_648801_1772258_1742596_223301_223303_223307_223308_10827_889202_1513519_457286_714308_889203_529680_1904882_1949196_1904883_1264880_929769_223313_871521_223316_51034_759390_929766_228897_1046571_932069_932070_367850_408719_1093958_223321_932073_761702_1221206_10829_223324_1051966_336987_565052_983437_1701549_172391_10831_223342_71186_1124577_223358_10835_134599_1162280_158463_649996_260909_86502_365523_1825950_667119_1046573_51673",100
"4","57_AL3",110,110,"PF01407_","57_AL3.faa","57_AL3.fna","665102_932071_1046572_10815_1611435_31602_1227354_10838_222445_220340_536081_51336_1311277_47838_1747500_1915203_390436_403897_293284_1396815_77647_134681_1227356_1227357_94700_598494_263793_1198450_1490227_1982675_75574_390437_1904881_51676_2021666_223284_169865_1129033_1906668_1742594_1742595_223286_180399_714309_223287_33726_619599_327280_1737555_648801_1772258_1742596_223301_223303_223307_223308_10827_889202_1513519_457286_714308_889203_529680_1904882_1949196_1904883_1264880_929769_223313_871521_223316_51034_759390_929766_228897_1046571_932069_932070_367850_408719_1093958_223321_932073_761702_1221206_10829_223324_1051966_336987_565052_983437_1701549_172391_10831_223342_71186_1124577_223358_10835_134599_1162280_158463_649996_260909_86502_365523_1825950_667119_1046573_51673",99.0990990990991
"5","58_AL2",108,108,"PF01440_","58_AL2.faa","58_AL2.fna","665102_932071_1046572_10815_1611435_31602_1227354_10838_222445_220340_536081_51336_1311277_47838_1747500_1915203_390436_403897_293284_1396815_77647_134681_1227356_1227357_94700_598494_263793_1198450_1490227_1982675_75574_390437_1904881_51676_2021666_223284_169865_1129033_1906668_376612_1742594_1742595_223286_180399_714309_223287_619599_327280_1737555_648801_1772258_1742596_223301_223303_223307_223308_10827_889202_1513519_457286_714308_889203_529680_1904882_1949196_1904883_1264880_223313_871521_223316_51034_759390_929766_228897_1046571_932069_932070_367850_408719_1093958_223321_932073_761702_1221206_10829_223324_1051966_336987_565052_983437_1701549_172391_10831_223342_71186_223358_10835_134599_1162280_158463_649996_260909_86502_365523_1825950_667119_1046573_51673",97.2972972972973
"6","6_AC1",109,109,"PF00799_PF08283_","6_AC1.faa","6_AC1.fna","665102_932071_1046572_10815_1611435_31602_1227354_10838_220340_536081_51336_1311277_47838_1747500_1915203_390436_403897_293284_1396815_77647_134681_1227356_1227357_94700_598494_263793_1198450_1490227_1982675_75574_390437_1904881_51676_2021666_223284_169865_1129033_1906668_376612_1742594_1742595_223286_180399_714309_223287_33726_619599_327280_1737555_648801_1772258_1742596_223301_223303_223307_223308_10827_889202_1513519_457286_714308_889203_529680_1904882_1949196_1904883_1264880_223313_871521_223316_51034_759390_929766_228897_1046571_932069_932070_367850_408719_1093958_223321_932073_761702_1221206_10829_223324_1051966_336987_565052_983437_1701549_172391_10831_223342_71186_1124577_223358_10835_134599_1162280_158463_649996_260909_86502_365523_1825950_667119_1046573_51673",98.1981981981982
"7","7_AC4",11,11,"","7_AC4.faa","7_AC4.fna","665102_1046572_31602_51336_1311277_1396815_1198450_1982675_180399_1513519_1162280",9.90990990990991
"8","12_AC4",71,71,"PF01492_","12_AC4.faa","12_AC4.fna","932071_1611435_1227354_536081_47838_1747500_1915203_390436_293284_1227356_1227357_263793_1490227_75574_390437_1904881_2021666_223284_169865_1129033_1906668_376612_1742594_1742595_223287_33726_327280_1737555_648801_1772258_1742596_223307_223308_889202_889203_529680_1904882_1949196_1904883_1264880_929769_223313_871521_223316_51034_759390_929766_228897_1046571_932069_932070_367850_1093958_223321_932073_761702_336987_565052_1701549_172391_10831_223342_71186_158463_649996_260909_86502_1825950_667119_1046573_51673",63.963963963964
"9","30_AV2",7,7,"PF01524_","30_AV2.faa","30_AV2.fna","1611435_263793_390437_223287_33726_529680_667119",6.30630630630631
"10","64_orf6",1,1,"","64_orf6.faa","64_orf6.fna","220340",0.900900900900901
"11","66_orf7",10,10,"PF04807_","66_orf7.faa","66_orf7.fna","220340_1904881_2021666_1906668_223287_33726_529680_1904882_761702_667119",9.00900900900901
"12","276_REn",1,1,"","276_REn.faa","276_REn.fna","376612",0.900900900900901
"13","323_1R2b",1,1,"","323_1R2b.faa","323_1R2b.fna","33726",0.900900900900901
"14","325_AL5",1,1,"","325_AL5.faa","325_AL5.fna","33726",0.900900900900901
"15","378_AL4",2,2,"PF04807_PF08464_","378_AL4.faa","378_AL4.fna","223303_134599",1.8018018018018
"16","585_AC4_5_2",1,1,"PF08464_","585_AC4_5_2.faa","585_AC4_5_2.fna","761702",0.900900900900901
"17","752_AV2",1,1,"PF01524_PF03716_","752_AV2.faa","752_AV2.fna","1046573",0.900900900900901
