source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Anelloviridae/cluster_5_homologues_19062021_0409_intersection	2_hypothetical_protein.faa	53_hypothetical_protein.faa	55_hypothetical_protein.faa	56_hypothetical_protein.faa	58_Orf1.faa	62_hypothetical_protein.faa
Torque-teno-midi-virus-10_taxid_2065051.gbk	1	0	0	0	1	0
Torque-teno-midi-virus-11_taxid_2065052.gbk	1	0	0	0	1	0
Torque-teno-midi-virus-12_taxid_2065053.gbk	1	0	0	0	1	0
Torque-teno-midi-virus-13_taxid_2065054.gbk	1	0	0	0	1	0
Torque-teno-midi-virus-14_taxid_2065055.gbk	1	0	0	0	1	0
Torque-teno-midi-virus-15_taxid_2065056.gbk	1	0	0	0	1	0
Torque-teno-midi-virus-1_taxid_687379.gbk	1	0	0	0	1	0
Torque-teno-midi-virus-2_taxid_687380.gbk	1	0	0	0	1	0
Torque-teno-midi-virus-5_taxid_2065046.gbk	1	0	0	0	1	0
Torque-teno-midi-virus-6_taxid_2065047.gbk	1	0	0	0	1	0
Torque-teno-midi-virus-7_taxid_2065048.gbk	1	0	0	0	1	0
Torque-teno-midi-virus-8_taxid_2065049.gbk	1	0	0	0	1	0
Torque-teno-midi-virus-9_taxid_2065050.gbk	1	0	0	0	1	0
Torque-teno-tamarin-virus_taxid_687382.gbk	0	1	1	1	1	0
Torque-teno-virus-11_taxid_687350.gbk	0	0	0	0	1	0
Torque-teno-virus-13_taxid_687352.gbk	0	0	0	0	1	0
Torque-teno-virus-20_taxid_687359.gbk	0	0	0	0	1	1
Torque-teno-virus-21_taxid_687360.gbk	0	0	0	0	1	0
Torque-teno-virus-23_taxid_687362.gbk	0	0	0	0	1	0
Torque-teno-virus-24_taxid_687363.gbk	0	0	0	0	1	1
Torque-teno-virus-2_taxid_687341.gbk	0	0	0	0	1	0
Torque-teno-virus-5_taxid_687344.gbk	0	0	0	0	1	0
