cluster	prevalence	term	what	familia	algoritmo
10_nonstructural_protei..	30.76923076923077	permeabilization of host organelle membrane involved in viral entry into host cell [GO:0039665]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
10_nonstructural_protei..	30.76923076923077	suppression by virus of G2/M transition of host mitotic cell cycle [GO:0039592]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
10_nonstructural_protei..	30.76923076923077	rolling hairpin viral DNA replication [GO:0039685]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
10_nonstructural_protei..	30.76923076923077	induction by virus of host apoptotic process [GO:0019051]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
10_nonstructural_protei..	30.76923076923077	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
11_capsid_protein	50.349650349650354	virion attachment to host cell [GO:0019062]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
11_capsid_protein	50.349650349650354	microtubule-dependent intracellular transport of viral material towards nucleus [GO:0075521]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
11_capsid_protein	50.349650349650354	clathrin-dependent endocytosis of virus by host cell [GO:0075512]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
11_capsid_protein	50.349650349650354	permeabilization of host organelle membrane involved in viral entry into host cell [GO:0039665]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
11_capsid_protein	50.349650349650354	viral penetration into host nucleus [GO:0075732]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
11_capsid_protein	50.349650349650354	viral entry into host cell [GO:0046718]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
11_capsid_protein	50.349650349650354	host cell nucleolus [GO:0044196]	cc	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
11_capsid_protein	50.349650349650354	T=1 icosahedral viral capsid [GO:0039615]	cc	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
11_capsid_protein	50.349650349650354	virion [GO:0019012]	cc	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
11_capsid_protein	50.349650349650354	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
11_capsid_protein	50.349650349650354	structural molecule activity [GO:0005198]	mf	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
115_NS1	5.594405594405594	rolling hairpin viral DNA replication [GO:0039685]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
115_NS1	5.594405594405594	permeabilization of host organelle membrane involved in viral entry into host cell [GO:0039665]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
115_NS1	5.594405594405594	suppression by virus of G2/M transition of host mitotic cell cycle [GO:0039592]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	OMCL
