source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Nanoviridae/cluster_2_homologues_19062021_0803_intersection	1_Clink.faa	2_U1.faa	3_M-Rep.faa	4_MP.faa	5_NSP.faa	6_U4.faa	7_CP.faa	8_U2.faa
Black-medic-leaf-roll-virus_taxid_2038729.gbk	1	1	1	1	1	1	1	1
Cow-vetch-latent-virus_taxid_2056780.gbk	1	1	1	1	1	1	1	1
Faba-bean-necrotic-stunt-virus_taxid_283824.gbk	1	1	1	1	1	1	1	1
Faba-bean-necrotic-yellows-virus_taxid_59817.gbk	1	1	1	1	1	2	1	1
Faba-bean-yellow-leaf-virus_taxid_1137801.gbk	1	1	1	1	1	1	1	1
Milk-vetch-dwarf-virus_taxid_67585.gbk	1	1	1	1	1	1	1	1
Pea-necrotic-yellow-dwarf-virus_taxid_753670.gbk	1	1	1	1	1	1	1	1
Pea-yellow-stunt-virus_taxid_1436892.gbk	1	1	1	1	1	1	1	1
