"","GO:0046872","GO:0005524","GO:0003677","GO:0005198","GO:0004197","GO:0004386","GO:0003697","GO:0016888","GO:0016779"
"1_BV1",TRUE,NA,NA,TRUE,NA,NA,TRUE,NA,NA
"2_BC1",NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA
"134_capsid_protein",TRUE,NA,NA,TRUE,NA,NA,TRUE,NA,NA
"5_AC2",TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA
"135_replication_associat..",TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,TRUE
"485_AC1",TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,TRUE
"1339_Rep",TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,TRUE
"1375_V2",TRUE,NA,NA,TRUE,NA,NA,TRUE,NA,NA
"2062_BV1",TRUE,NA,NA,TRUE,NA,NA,TRUE,NA,NA
"2140_AC4",TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,TRUE
