cluster1_capsid_protein	size49	taxa49		file1_capsid_protein.faa	dnafile1_capsid_protein.fna	2219142_1843749_1843750_1843751_1843752_1843753_1843754_2169876_2169877_2170105_2170106_2170107_2170108_2077298_2169932_2169933_1932006_2170109_2170110_2293284_2170111_2170112_2169934_2169935_2169936_2170114_1820158_1820159_1595998_2170115_1592122_1592125_1114942_1488557_2170117_2170119_2170120_2170121_2170122_2170123_2170124_2170125_1328031_1843773_2170126_1843756_1843757_1843758_2170130
cluster2_replication_associat..	size48	taxa48		file2_replication_associat...faa	dnafile2_replication_associat...fna	2219142_1843749_1843750_1843751_1843752_1843753_1843754_2169876_2169877_2170105_2170106_2170107_2170108_2077298_2169932_2169933_1932006_2170109_2170110_2293284_2170111_2170112_2169934_2169935_2169936_2170114_1820158_1820159_1595998_2170115_1592122_1592125_1114942_1488557_2170117_2170119_2170120_2170121_2170122_2170123_2170124_1328031_1843773_2170126_1843756_1843757_1843758_2170130
cluster16_ORF2	size4	taxa4		file16_ORF2.faa	dnafile16_ORF2.fna	2169876_2169877_2170105_1114942
cluster32_ORF3_protein	size1	taxa1		file32_ORF3_protein.faa	dnafile32_ORF3_protein.fna	2077298
cluster33_replication-associat..	size1	taxa1	PfamPF00910,	file33_replication-associat...faa	dnafile33_replication-associat...fna	2077298
cluster34_capsid_protein	size1	taxa1		file34_capsid_protein.faa	dnafile34_capsid_protein.fna	2077298
cluster43_ORF5	size1	taxa1		file43_ORF5.faa	dnafile43_ORF5.fna	2170110
cluster44_ORF3	size1	taxa1		file44_ORF3.faa	dnafile44_ORF3.fna	2170110
cluster45_ORF6	size1	taxa1		file45_ORF6.faa	dnafile45_ORF6.fna	2170110
cluster47_ORF4	size1	taxa1		file47_ORF4.faa	dnafile47_ORF4.fna	2170110
cluster75_hypothetical_protein	size1	taxa1		file75_hypothetical_protein.faa	dnafile75_hypothetical_protein.fna	1114942
cluster78_hypothetical_protein	size1	taxa1		file78_hypothetical_protein.faa	dnafile78_hypothetical_protein.fna	1114942
cluster97_Rep_protein	size1	taxa1	PfamPF02407,	file97_Rep_protein.faa	dnafile97_Rep_protein.fna	2170125
