"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"1","1_putative_replicase_p..",12,12,"PF02407_PF00910_","1_putative_replicase_p...faa","1_putative_replicase_p...fna","438782_12585_2038729_262588_2056780_283824_59817_1137801_67585_753670_1436892_36772",100
"2","2_putative_cell-cycle_..",3,3,"PF19411_","2_putative_cell-cycle_...faa","2_putative_cell-cycle_...fna","438782_12585_262588",25
"3","3_putative_nuclear_shu..",12,12,"PF05629_","3_putative_nuclear_shu...faa","3_putative_nuclear_shu...fna","438782_12585_2038729_262588_2056780_283824_59817_1137801_67585_753670_1436892_36772",100
"4","4_putative_coat_protei..",12,12,"PF04660_","4_putative_coat_protei...faa","4_putative_coat_protei...fna","438782_12585_2038729_262588_2056780_283824_59817_1137801_67585_753670_1436892_36772",100
"5","5_putative_movement_pr..",3,3,"PF07234_","5_putative_movement_pr...faa","5_putative_movement_pr...fna","438782_12585_262588",25
"6","12_MP",9,9,"","12_MP.faa","12_MP.fna","2038729_2056780_283824_59817_1137801_67585_753670_1436892_36772",75
"7","13_Clink",9,9,"","13_Clink.faa","13_Clink.fna","2038729_2056780_283824_59817_1137801_67585_753670_1436892_36772",75
"8","15_U1",9,9,"","15_U1.faa","15_U1.fna","2038729_2056780_283824_59817_1137801_67585_753670_1436892_36772",75
"9","17_U2",8,8,"","17_U2.faa","17_U2.fna","2038729_2056780_283824_59817_1137801_67585_753670_1436892",66.6666666666667
"10","18_U4",9,8,"","18_U4.faa","18_U4.fna","2038729_2056780_283824_59817_59817_1137801_67585_753670_1436892",66.6666666666667
