QueryID,SubjectID,Perc.Ident,Alignment.Length,Mismatches,Gap.Openings,Q.start,Q.end,S.start,S.end,E,Bits
ID:YP_009111297.1,ID:YP_009111297.1,100,410,0,0,1,410,1,410,0,850
ID:YP_009111297.1,ID:NP_510885.1,99.512,410,2,0,1,410,1,410,0,846
ID:YP_009111297.1,ID:NP_040570.1,60.197,407,161,1,1,406,1,407,0,507
ID:NP_510885.1,ID:NP_510885.1,100,410,0,0,1,410,1,410,0,850
ID:NP_510885.1,ID:YP_009111297.1,99.512,410,2,0,1,410,1,410,0,846
ID:NP_510885.1,ID:NP_040570.1,60.442,407,160,1,1,406,1,407,0,509
ID:NP_040570.1,ID:NP_040570.1,100,421,0,0,1,421,1,421,0,875
ID:NP_040570.1,ID:NP_510885.1,60.442,407,160,1,1,407,1,406,0,509
ID:NP_040570.1,ID:YP_009111297.1,60.197,407,161,1,1,407,1,406,0,507
ID:YP_009111306.1,ID:YP_009111306.1,100,426,0,0,1,426,1,426,0,841
ID:YP_009111306.1,ID:NP_510894.1,98.826,426,5,0,1,426,1,426,0,833
ID:YP_009111306.1,ID:NP_047359.1,52.706,425,189,5,11,426,8,429,2.47e-157,441
ID:NP_047359.1,ID:NP_047359.1,100,429,0,0,1,429,1,429,0,859
ID:NP_047359.1,ID:YP_009111306.1,52.706,425,189,5,8,429,11,426,2.49e-157,441
ID:NP_047359.1,ID:NP_510894.1,52.706,425,189,5,8,429,11,426,6.22e-157,439
ID:NP_510894.1,ID:NP_510894.1,100,426,0,0,1,426,1,426,0,840
ID:NP_510894.1,ID:YP_009111306.1,98.826,426,5,0,1,426,1,426,0,833
ID:NP_510894.1,ID:NP_047359.1,52.706,425,189,5,11,426,8,429,6.17e-157,439
ID:YP_009103099.1,ID:YP_009103099.1,100,69,0,0,1,69,1,69,2.21e-47,132
ID:YP_009103099.1,ID:YP_002290956.1,97.101,69,2,0,1,69,1,69,9.66e-46,128
ID:YP_009103099.1,ID:YP_009786097.1,78.261,69,15,0,1,69,1,69,1.16e-28,85.1
ID:YP_009103099.1,ID:YP_863909.1,91.304,46,4,0,1,46,1,46,5.1e-25,75.9
ID:YP_863909.1,ID:YP_863909.1,100,69,0,0,1,69,1,69,1.54e-46,130
ID:YP_863909.1,ID:YP_009103099.1,89.796,49,5,0,1,49,1,49,1.32e-30,90.1
ID:YP_863909.1,ID:YP_002290956.1,87.755,49,6,0,1,49,1,49,3.82e-29,86.3
ID:YP_863909.1,ID:YP_009786097.1,75.362,69,17,0,1,69,1,69,1.94e-27,82
ID:YP_002290956.1,ID:YP_002290956.1,100,69,0,0,1,69,1,69,3.28e-47,132
ID:YP_002290956.1,ID:YP_009103099.1,97.101,69,2,0,1,69,1,69,9.66e-46,128
ID:YP_002290956.1,ID:YP_009786097.1,79.71,69,14,0,1,69,1,69,3.32e-29,86.7
ID:YP_002290956.1,ID:YP_863909.1,89.13,46,5,0,1,46,1,46,6.86e-24,73.2
ID:YP_009786097.1,ID:YP_009786097.1,100,69,0,0,1,69,1,69,3.52e-46,129
ID:YP_009786097.1,ID:YP_009103099.1,83.673,49,8,0,1,49,1,49,3.47e-28,84
ID:YP_009786097.1,ID:YP_002290956.1,83.673,49,8,0,1,49,1,49,4.51e-28,83.6
ID:YP_009786097.1,ID:YP_863909.1,80.435,46,9,0,1,46,1,46,1.24e-20,64.7
ID:YP_009103100.1,ID:YP_009103100.1,100,69,0,0,1,69,1,69,1.55e-45,127
ID:YP_009103100.1,ID:YP_002290957.1,98.551,69,1,0,1,69,1,69,1.09e-44,125
ID:YP_009103100.1,ID:YP_009786098.1,95.652,69,3,0,1,69,1,69,5.16e-36,103
