"","GO:0039592","GO:0019062","GO:0046718","GO:0075732","GO:0006260","GO:0075512","GO:0075521","GO:0039665","GO:0039685","GO:0019051"
"1_NS1",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"4_NS1",TRUE,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA
"10_NS1",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"11_putative_VP1",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"13_VP2",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"16_non-structural_prote..",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"18_nonstructural_protei..",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"20_NS1",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA
"30_cap",NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA
"36_non-structural_prote..",TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
