"","ATP binding","DNA binding","structural molecule activity","viral capsid","DNA replication","DNA helicase activity","viral genome replication"
"1_NS1",NA,NA,NA,NA,NA,NA,TRUE
"4_NS1",TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE
"10_NS1",NA,NA,NA,NA,NA,NA,TRUE
"11_putative_VP1",NA,NA,TRUE,TRUE,NA,NA,NA
"13_VP2",NA,NA,TRUE,TRUE,NA,NA,NA
"16_non-structural_prote..",NA,NA,NA,NA,NA,NA,TRUE
"18_nonstructural_protei..",NA,NA,NA,NA,NA,NA,TRUE
"20_NS1",NA,NA,NA,NA,NA,NA,TRUE
"30_cap",NA,NA,TRUE,NA,NA,NA,NA
"36_non-structural_prote..",NA,NA,NA,NA,NA,NA,TRUE
