"","0003677","0005198","0006260","0019073","0046718","0019048","0004040","0019069","0046797","0004857","0019054"
"5_major_capsid_protein",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20_major_capsid_protein",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45_mannosyl-glycoprotei..",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"121_putative_replication..",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"123_putative_minor_capsi..",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
"125_putative_major_capsi..",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131_B",NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"133_C",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"135_E",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE
"136_J",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138_G",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
"139_H",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
