cluster	prevalence	term	what	familia	algoritmo
1_putative_capsid_prot..	100	Putative function Uniprot hit [GO:PPPPPPP]	bp	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
15_ORF5	2.941176470588235	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
16_ORF3	2.941176470588235	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
17_ORF6	2.941176470588235	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
19_ORF4	2.941176470588235	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	Putative function Uniprot hit [GO:PPPPPPP]	bp	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	DNA replication [GO:0006260]	bp	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	protein-DNA covalent cross-linking [GO:0018142]	bp	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
65_Rep_protein	2.941176470588235	Putative function Uniprot hit [GO:PPPPPPP]	bp	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
1_putative_capsid_prot..	100	Putative function Uniprot hit [GO:PPPPPPP]	cc	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
15_ORF5	2.941176470588235	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
16_ORF3	2.941176470588235	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
17_ORF6	2.941176470588235	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
19_ORF4	2.941176470588235	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	Putative function Uniprot hit [GO:PPPPPPP]	cc	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	host cell nucleus [GO:0042025]	cc	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	Uniprot hit without GO [GO:XXXXXXX]	cc	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
65_Rep_protein	2.941176470588235	Putative function Uniprot hit [GO:PPPPPPP]	cc	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
1_putative_capsid_prot..	100	Putative function Uniprot hit [GO:PPPPPPP]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
15_ORF5	2.941176470588235	Uniprot hit without GO [GO:XXXXXXX]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
16_ORF3	2.941176470588235	Uniprot hit without GO [GO:XXXXXXX]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
17_ORF6	2.941176470588235	Uniprot hit without GO [GO:XXXXXXX]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
19_ORF4	2.941176470588235	Uniprot hit without GO [GO:XXXXXXX]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	Putative function Uniprot hit [GO:PPPPPPP]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	ATP binding [GO:0005524]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	DNA binding [GO:0003677]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	metal ion binding [GO:0046872]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	nucleotidyltransferase activity [GO:0016779]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	RNA binding [GO:0003723]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	RNA helicase activity [GO:0003724]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
2_replication_associat..	97.05882352941177	Uniprot hit without GO [GO:XXXXXXX]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
65_Rep_protein	2.941176470588235	Putative function Uniprot hit [GO:PPPPPPP]	mf	../results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820/	OMCL
