"","Gemini_AL1","Gemini_coat","Gemini_BL1","Gemini_AL3","Gemini_AL2","Gemini_V2","Gemini_mov","Gemini_AL1_M"
"1_BV1",NA,TRUE,NA,NA,NA,NA,NA,NA
"2_BC1",NA,NA,TRUE,NA,NA,NA,NA,NA
"134_capsid_protein",NA,TRUE,NA,NA,NA,NA,NA,NA
"4_AC3",NA,NA,NA,TRUE,NA,NA,NA,NA
"5_AC2",NA,NA,NA,NA,TRUE,NA,NA,NA
"135_replication_associat..",TRUE,NA,NA,NA,NA,NA,NA,TRUE
"33_AV2",NA,NA,NA,NA,NA,TRUE,NA,NA
"108_av2",NA,NA,NA,NA,NA,TRUE,NA,NA
"133_movement_protein",NA,NA,NA,NA,NA,NA,TRUE,NA
"485_AC1",NA,NA,NA,NA,NA,NA,NA,TRUE
"1339_Rep",TRUE,NA,NA,NA,NA,NA,NA,NA
"1375_V2",NA,TRUE,NA,NA,NA,NA,NA,NA
"1939_v2",NA,NA,NA,NA,NA,TRUE,NA,NA
"2062_BV1",NA,TRUE,NA,NA,NA,NA,NA,NA
"2123_truncated_V2",NA,NA,NA,NA,NA,TRUE,NA,NA
"2140_AC4",TRUE,NA,NA,NA,NA,NA,NA,NA
