source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754_intersection	Enterobacteria-phage-fd_taxid_10864.gbk	Escherichia-phage-If1_taxid_10868.gbk	Escherichia-virus-I22_taxid_10869.gbk	Escherichia-virus-M13_taxid_1977402.gbk	Propionibacterium-phage-B5_taxid_189836.gbk	Pseudomonas-phage-Pf3_taxid_10872.gbk	Pseudomonas-virus-Pf1_taxid_2011081.gbk	Ralstonia-phage-1-NP-2014_taxid_1460070.gbk	Ralstonia-phage-PE226_taxid_926543.gbk	Ralstonia-phage-RS603_taxid_1505528.gbk	Ralstonia-phage-RSM1_taxid_384359.gbk	Ralstonia-phage-RSM3_taxid_520962.gbk	Ralstonia-phage-RSS0_taxid_1150992.gbk	Ralstonia-phage-RSS1_taxid_384360.gbk	Ralstonia-phage-RSS20_taxid_1354496.gbk	Ralstonia-phage-Rs551_taxid_1852598.gbk	Ralstonia-phage-p12J_taxid_247080.gbk	Salmonella-phage-IKe_taxid_10867.gbk	Stenotrophomonas-phage-PSH1_taxid_2011087.gbk	Stenotrophomonas-phage-SMA6_taxid_1346893.gbk	Stenotrophomonas-phage-SMA7_taxid_1343494.gbk	Stenotrophomonas-phage-SMA9_taxid_334856.gbk	Stenotrophomonas-phage-phiSHP2_taxid_1027253.gbk	Thermus-phage-phiOH3_taxid_1968339.gbk	Uncultured-phage-WW-nAnB-strain-2_taxid_1449896.gbk	Uncultured-phage-WW-nAnB-strain-3_taxid_1449897.gbk	Vibrio-phage-CTXphi_taxid_2785247.gbk	Vibrio-phage-KSF1_taxid_292443.gbk	Vibrio-phage-VCY-phi_taxid_1105327.gbk	Vibrio-phage-VEJphi_taxid_642111.gbk	Vibrio-phage-VFJ_taxid_1340745.gbk	Vibrio-phage-VGJ_taxid_223524.gbk	Vibrio-phage-VSK_taxid_181604.gbk	Vibrio-phage-Vf12_taxid_127511.gbk	Vibrio-phage-VfO3K6_taxid_127507.gbk	Vibrio-phage-VfO4K68_taxid_127508.gbk	Vibrio-phage-fs2_taxid_83201.gbk	Vibrio-virus-Vf33_taxid_127509.gbk	Vibrio-virus-fs1_taxid_70203.gbk	Xanthomonas-phage-Xf109_taxid_1852597.gbk	Xanthomonas-virus-Cf1c_taxid_10862.gbk	uncultured-phage-WW-nAnB_taxid_1074044.gbk	
1_II.faa	ID:YP_009111297.1,	-	-	ID:NP_510885.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:NP_040570.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2_X.faa	ID:YP_009111298.1,	-	-	ID:NP_510886.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:NP_040571.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
4_VII.faa	ID:YP_009111300.1,	ID:NP_047353.1,	-	ID:NP_510888.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
5_IX.faa	ID:YP_009111301.1,	-	-	ID:NP_510889.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6_VIII.faa	ID:YP_009111302.1,	ID:NP_047355.1,	ID:NP_039620.1,	ID:NP_510890.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:NP_040575.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
7_III.faa	ID:YP_009111303.1,	-	-	ID:NP_510891.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
8_VI.faa	ID:YP_009111304.1,	ID:NP_047357.1,	-	ID:NP_510892.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:NP_040577.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
9_I.faa	ID:YP_009111305.1,	ID:NP_047358.1,	ID:NP_039622.1,	ID:NP_510893.1,	-	-	-	ID:YP_009008132.1,	-	-	-	-	-	-	-	-	-	ID:NP_040578.1,	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_008130281.1,	-	-	-	-	-	ID:NP_047371.1,	-	-	-	-	-	
10_IV.faa	ID:YP_009111306.1,	ID:NP_047359.1,	-	ID:NP_510894.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
