"","34_beta_V1","35_beta_C1"
"1175505",FALSE,FALSE
"912035",FALSE,FALSE
"635076",FALSE,FALSE
"169687",FALSE,FALSE
"185750",FALSE,FALSE
"329288",FALSE,FALSE
"2010316",FALSE,FALSE
"2010317",FALSE,FALSE
"447606",FALSE,FALSE
"1476485",FALSE,FALSE
"186371",FALSE,FALSE
"908010",FALSE,FALSE
"908072",FALSE,FALSE
"316106",FALSE,FALSE
"497865",FALSE,FALSE
"1736759",FALSE,FALSE
"2010286",FALSE,FALSE
"1335766",FALSE,FALSE
"2010315",FALSE,FALSE
"1297646",FALSE,FALSE
"307111",FALSE,FALSE
"134386",FALSE,FALSE
"713092",FALSE,FALSE
"304222",FALSE,FALSE
"306025",FALSE,FALSE
"189515",FALSE,FALSE
"292627",FALSE,FALSE
"411248",FALSE,FALSE
"640136",FALSE,FALSE
"447603",FALSE,FALSE
"221054",FALSE,FALSE
"2010319",FALSE,FALSE
"1200971",FALSE,FALSE
"1428189",TRUE,TRUE
"435486",FALSE,FALSE
"221037",FALSE,FALSE
"1198498",FALSE,FALSE
"417192",FALSE,FALSE
"1273128",FALSE,FALSE
"670251",FALSE,FALSE
"447605",FALSE,FALSE
"570832",FALSE,FALSE
"325113",FALSE,FALSE
"1705090",FALSE,FALSE
"1506157",FALSE,FALSE
"1705091",FALSE,FALSE
"488255",FALSE,FALSE
"339965",FALSE,FALSE
"1461792",FALSE,FALSE
"377463",FALSE,FALSE
"221036",FALSE,FALSE
"1246849",FALSE,FALSE
"377611",FALSE,FALSE
"360580",FALSE,FALSE
"447600",FALSE,FALSE
"2049883",FALSE,FALSE
"1507403",FALSE,FALSE
"1238162",FALSE,FALSE
"908277",FALSE,FALSE
"756759",FALSE,FALSE
"454128",FALSE,FALSE
"2010323",FALSE,FALSE
"169693",FALSE,FALSE
"714640",FALSE,FALSE
"1036255",FALSE,FALSE
"1507984",FALSE,FALSE
"1931113",FALSE,FALSE
"436242",FALSE,FALSE
"519016",FALSE,FALSE
"410826",FALSE,FALSE
"662596",FALSE,FALSE
"2010325",FALSE,FALSE
"875325",FALSE,FALSE
"337824",FALSE,FALSE
"291270",FALSE,FALSE
"447602",FALSE,FALSE
"326489",FALSE,FALSE
"1418029",FALSE,FALSE
"393034",FALSE,FALSE
"219596",FALSE,FALSE
"1213187",FALSE,FALSE
"587314",FALSE,FALSE
"169691",FALSE,FALSE
"2010326",FALSE,FALSE
"2010327",FALSE,FALSE
"218845",FALSE,FALSE
"234829",FALSE,FALSE
"2010331",FALSE,FALSE
"486898",FALSE,FALSE
"885379",FALSE,FALSE
"220812",FALSE,FALSE
"278069",FALSE,FALSE
"1384632",FALSE,FALSE
"1231334",FALSE,FALSE
"263578",FALSE,FALSE
"1000690",FALSE,FALSE
"436243",FALSE,FALSE
"1397670",FALSE,FALSE
"2010332",FALSE,FALSE
"2010333",FALSE,FALSE
"2049892",FALSE,FALSE
"2031200",FALSE,FALSE
"478812",FALSE,FALSE
"1609290",FALSE,FALSE
"575918",FALSE,FALSE
"2173168",FALSE,FALSE
"929051",FALSE,FALSE
"315392",FALSE,FALSE
"1176156",FALSE,FALSE
"2203894",FALSE,FALSE
"427315",FALSE,FALSE
"391090",FALSE,FALSE
"1255765",FALSE,FALSE
"2083207",FALSE,FALSE
"2040662",FALSE,FALSE
"693897",FALSE,FALSE
"447604",FALSE,FALSE
"2033721",FALSE,FALSE
"366686",FALSE,FALSE
"1925152",FALSE,FALSE
"666635",FALSE,FALSE
"2050589",FALSE,FALSE
"220813",FALSE,FALSE
