source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Nanoviridae/Nanoviridae_all_homologues_19062021_0803_intersection	1_putative_replicase_p...faa	2_putative_cell-cycle_...faa	3_putative_nuclear_shu...faa	4_putative_coat_protei...faa	5_putative_movement_pr...faa	12_MP.faa	13_Clink.faa	15_U1.faa	17_U2.faa	18_U4.faa
Abaca-bunchy-top-virus_taxid_438782.gbk	1	1	1	1	1	0	0	0	0	0
Banana-bunchy-top-virus_taxid_12585.gbk	1	1	1	1	1	0	0	0	0	0
Black-medic-leaf-roll-virus_taxid_2038729.gbk	1	0	1	1	0	1	1	1	1	1
Cardamom-bushy-dwarf-virus_taxid_262588.gbk	1	1	1	1	1	0	0	0	0	0
Cow-vetch-latent-virus_taxid_2056780.gbk	1	0	1	1	0	1	1	1	1	1
Faba-bean-necrotic-stunt-virus_taxid_283824.gbk	1	0	1	1	0	1	1	1	1	1
Faba-bean-necrotic-yellows-virus_taxid_59817.gbk	1	0	1	1	0	1	1	1	1	2
Faba-bean-yellow-leaf-virus_taxid_1137801.gbk	1	0	1	1	0	1	1	1	1	1
Milk-vetch-dwarf-virus_taxid_67585.gbk	1	0	1	1	0	1	1	1	1	1
Pea-necrotic-yellow-dwarf-virus_taxid_753670.gbk	1	0	1	1	0	1	1	1	1	1
Pea-yellow-stunt-virus_taxid_1436892.gbk	1	0	1	1	0	1	1	1	1	1
Subterranean-clover-stunt-virus_taxid_36772.gbk	1	0	1	1	0	1	1	1	0	0
