source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Circoviridae/cluster_2_homologues_19062021_0417_intersection	1_replication-associat...faa	2_putative_capsid_prot...faa	3_putative_capsid_prot...faa	5_putative_capsid_prot...faa	6_replication-associat...faa	7_putative_capsid_prot...faa	10_hypothetical_protein.faa	11_hypothetical_protein.faa	12_hypothetical_protein.faa	13_hypothetical_protein.faa	15_hypothetical_protein.faa	17_hypothetical_protein.faa	18_hypothetical_protein.faa	19_putative_viral_capsi...faa	20_hypothetical_protein.faa	22_replication-associat...faa	24_hypothetical_protein.faa	25_hypothetical_protein.faa	28_replication-associat...faa	29_hypothetical_protein.faa	31_hypothetical_protein.faa	32_hypothetical_protein.faa	33_hypothetical_protein.faa	34_hypothetical_protein.faa	36_hypothetical_protein.faa	40_hypothetical_protein.faa	42_hypothetical_protein.faa	45_hypothetical_protein.faa	46_hypothetical_protein.faa	50_hypothetical_protein.faa	51_hypothetical_protein.faa	53_ORF2.faa	54_cap.faa	55_capsid-like_protein.faa	56_Rep-B.faa	62_capsid_protein.faa	63_hypothetical_protein.faa	65_hypothetical_protein.faa	67_hypothetical_protein.faa	69_Cap.faa	71_hypothetical_protein.faa	72_hypothetical_protein.faa	75_hypothetical_protein.faa	78_cap_protein.faa
Avon-Heathcote-Estuary-associated-circular-virus-15_taxid_1618238.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avon-Heathcote-Estuary-associated-circular-virus-19_taxid_1618242.gbk	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avon-Heathcote-Estuary-associated-circular-virus-27_taxid_1618251.gbk	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avon-Heathcote-Estuary-associated-circular-virus-3_taxid_1618254.gbk	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circoviridae-11-LDMD-2013_taxid_1379715.gbk	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circoviridae-13-LDMD-2013_taxid_1379717.gbk	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circoviridae-14-LDMD-2013_taxid_1379718.gbk	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circoviridae-15-LDMD-2013_taxid_1379719.gbk	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circoviridae-18-LDMD-2013_taxid_1379722.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circoviridae-5-LDMD-2013_taxid_1379709.gbk	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circoviridae-6-LDMD-2013_taxid_1379710.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circovirus-like-genome-DCCV-11_taxid_1788439.gbk	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circovirus-like-genome-DCCV-4_taxid_1788444.gbk	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circovirus-like-genome-DCCV-7_taxid_1788447.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circovirus-like-genome-DCCV-8_taxid_1788448.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circovirus-like-genome-DHCV-2_taxid_1788451.gbk	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dromedary-stool-associated-circular-ssDNA-virus_taxid_1574422.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Ecklonia-radiata-associated-virus-7_taxid_2480197.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Fur-seal-faeces-associated-circular-DNA-virus_taxid_1353241.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Giant-panda-circovirus-1_taxid_2016456.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Giant-panda-circovirus-3_taxid_2016458.gbk	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Human-circovirus-VS6600022_taxid_1525173.gbk	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Molossus-molossus-circovirus-2_taxid_1959843.gbk	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Po-Circo-like-virus-41_taxid_1105385.gbk	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Po-Circo-like-virus-51_taxid_1105386.gbk	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Porcine-stool-associated-circular-virus-4_taxid_1475062.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Porcine-stool-associated-circular-virus-5_taxid_1475063.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Porcine-stool-associated-circular-virus-BEL-15V010_taxid_2017724.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
