"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"1","1_replication_associat..",1,1,"PF00799_PF00910_","1_replication_associat...faa","1_replication_associat...fna","1676184",14.2857142857143
"2","2_hypothetical_protein",1,1,"","2_hypothetical_protein.faa","2_hypothetical_protein.fna","1676184",14.2857142857143
"3","3_putative_CP",1,1,"","3_putative_CP.faa","3_putative_CP.fna","1676184",14.2857142857143
"4","4_replication-associat..",2,2,"PF02407_","4_replication-associat...faa","4_replication-associat...fna","1379692_1105383",28.5714285714286
"5","5_hypothetical_protein",1,1,"","5_hypothetical_protein.faa","5_hypothetical_protein.fna","1379692",14.2857142857143
"6","6_hypothetical_protein",1,1,"","6_hypothetical_protein.faa","6_hypothetical_protein.fna","1379692",14.2857142857143
"7","7_putative_viral_capsi..",2,2,"","7_putative_viral_capsi...faa","7_putative_viral_capsi...fna","1379692_1379712",28.5714285714286
"8","8_replication-associat..",3,3,"PF02407_PF00910_","8_replication-associat...faa","8_replication-associat...fna","1379695_2304514_2017081",42.8571428571429
"9","9_putative_viral_capsi..",1,1,"PF00729_","9_putative_viral_capsi...faa","9_putative_viral_capsi...fna","1379695",14.2857142857143
"10","10_hypothetical_protein",1,1,"","10_hypothetical_protein.faa","10_hypothetical_protein.fna","1379712",14.2857142857143
"11","11_replication-associat..",1,1,"PF00910_","11_replication-associat...faa","11_replication-associat...fna","1379712",14.2857142857143
"12","13_hypothetical_protein",1,1,"","13_hypothetical_protein.faa","13_hypothetical_protein.fna","1379712",14.2857142857143
"13","14_putative_viral_capsi..",1,1,"","14_putative_viral_capsi...faa","14_putative_viral_capsi...fna","1379712",14.2857142857143
"14","15_replication-associat..",1,1,"PF00910_","15_replication-associat...faa","15_replication-associat...fna","2304514",14.2857142857143
"15","16_capsid_protein",1,1,"PF02443_","16_capsid_protein.faa","16_capsid_protein.fna","2304514",14.2857142857143
"16","18_capsid_protein",1,1,"","18_capsid_protein.faa","18_capsid_protein.fna","2304514",14.2857142857143
"17","20_hypothetical_protein",1,1,"","20_hypothetical_protein.faa","20_hypothetical_protein.fna","2017081",14.2857142857143
"18","21_hypothetical_protein",2,2,"","21_hypothetical_protein.faa","21_hypothetical_protein.fna","2017081_1105383",28.5714285714286
"19","22_hypothetical_protein",1,1,"","22_hypothetical_protein.faa","22_hypothetical_protein.fna","2017081",14.2857142857143
"20","23_hypothetical_protein",1,1,"","23_hypothetical_protein.faa","23_hypothetical_protein.fna","2017081",14.2857142857143
"21","25_hypothetical_protein",1,1,"","25_hypothetical_protein.faa","25_hypothetical_protein.fna","1105383",14.2857142857143
"22","26_hypothetical_protein",1,1,"","26_hypothetical_protein.faa","26_hypothetical_protein.fna","1105383",14.2857142857143
"23","28_hypothetical_protein",1,1,"","28_hypothetical_protein.faa","28_hypothetical_protein.fna","1105383",14.2857142857143
