cluster	prevalence	term	what	familia	algoritmo
1_II	7.142857142857142	DNA replication [GO:0006260]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
1_II	7.142857142857142	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
10_IV	7.142857142857142	protein secretion [GO:0009306]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
10_IV	7.142857142857142	viral extrusion [GO:0099045]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
112_hypothetical_protein	2.380952380952381	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
113_hypothetical_protein	11.904761904761903	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
116_hypothetical_protein	2.380952380952381	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
125_hypothetical_protein	4.761904761904762	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
15_III	2.380952380952381	adhesion receptor-mediated virion attachment to host cell [GO:0098671]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
15_III	2.380952380952381	entry receptor-mediated virion attachment to host cell [GO:0098670]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
15_III	2.380952380952381	pathogenesis [GO:0009405]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
15_III	2.380952380952381	viral entry into host cell via pilus retraction [GO:0039667]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
15_III	2.380952380952381	viral extrusion [GO:0099045]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
15_III	2.380952380952381	virion attachment to host cell pilus [GO:0039666]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
2_X	7.142857142857142	DNA replication [GO:0006260]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
2_X	7.142857142857142	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
207_putative_replication..	47.61904761904761	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
207_putative_replication..	47.61904761904761	DNA replication initiation [GO:0006270]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
208_hypothetical_protein	21.428571428571427	DNA replication [GO:0006260]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
208_hypothetical_protein	21.428571428571427	rolling circle single-stranded viral DNA replication [GO:0039684]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
22_IV	11.904761904761903	protein secretion [GO:0009306]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
22_IV	11.904761904761903	viral extrusion [GO:0099045]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
288_hypothetical_protein	21.428571428571427	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
29_III	4.761904761904762	adhesion receptor-mediated virion attachment to host cell [GO:0098671]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
29_III	4.761904761904762	entry receptor-mediated virion attachment to host cell [GO:0098670]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
29_III	4.761904761904762	viral entry into host cell via pilus retraction [GO:0039667]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
29_III	4.761904761904762	viral extrusion [GO:0099045]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
29_III	4.761904761904762	virion attachment to host cell pilus [GO:0039666]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
29_III	4.761904761904762	pathogenesis [GO:0009405]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
315_minor_capsid_protein	23.809523809523807	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
322_orf698	4.761904761904762	DNA replication [GO:0006260]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
323_orf104	4.761904761904762	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
328_orf149	4.761904761904762	viral entry into host cell via pilus retraction [GO:0039667]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
348_prim-VSK	4.761904761904762	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
349_membrane_glycoprotei..	4.761904761904762	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
354_memb2	4.761904761904762	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
359_hypothetical_protein	4.761904761904762	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
408_hypothetical_protein	2.380952380952381	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
412_hypothetical_protein	2.380952380952381	Uniprot hit without GO [GO:XXXXXXX]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
7_III	4.761904761904762	adhesion receptor-mediated virion attachment to host cell [GO:0098671]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
7_III	4.761904761904762	entry receptor-mediated virion attachment to host cell [GO:0098670]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
7_III	4.761904761904762	viral entry into host cell via pilus retraction [GO:0039667]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
7_III	4.761904761904762	viral extrusion [GO:0099045]	bp	../results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754/	OMCL
