"","1_Clink","2_U1","3_M-Rep","4_MP","5_NSP","6_U4","7_CP","8_U2"
"2038729",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2056780",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"283824",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"59817",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"1137801",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"67585",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"753670",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"1436892",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
