"","GO:0019062","GO:0046718","GO:0019076","GO:0019069","GO:0009253","GO:0019048","GO:0044780","GO:0046797","GO:0039693","GO:0039635","GO:0019073"
"45_mannosyl-glycoprotei..",NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA
"121_putative_replication..",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
"123_putative_minor_capsi..",NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA
"131_B",NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"133_C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"135_E",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
"136_J",NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA
"138_G",TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
"139_H",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174_J",NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA
