source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Anelloviridae/cluster_4_homologues_19062021_0409_intersection	1_ORF2.faa	2_ORF1.faa	3_ORF3.faa	6_ORF3.faa	7_ORF4.faa	10_ORF3.faa	11_ORF4.faa	14_ORF3.faa	16_ORF2.faa	18_ORF3.faa	19_ORF4.faa	22_hypothetical_protein.faa	32_hypothetical_protein.faa	39_orf2-5.faa	42_hypothetical_protein.faa	44_hypothetical_protein.faa	45_hypothetical_protein.faa	47_hypothetical_protein.faa	58_hypothetical_protein.faa	62_ORF1-2.faa	64_ORF1-1.faa	65_hypothetical_protein.faa	73_ORF3.faa
Simian-torque-teno-virus-30_taxid_1619218.gbk	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simian-torque-teno-virus-31_taxid_1619219.gbk	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simian-torque-teno-virus-32_taxid_1619220.gbk	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simian-torque-teno-virus-33_taxid_1629656.gbk	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simian-torque-teno-virus-34_taxid_1629657.gbk	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-douroucouli-virus_taxid_687383.gbk	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-virus-10_taxid_687349.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-virus-12_taxid_687351.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-virus-14_taxid_687353.gbk	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Torque-teno-virus-15_taxid_687354.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-virus-16_taxid_687355.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-virus-19_taxid_687358.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-virus-1_taxid_687340.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Torque-teno-virus-25_taxid_687364.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Torque-teno-virus-26_taxid_687365.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Torque-teno-virus-27_taxid_687366.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-virus-28_taxid_687367.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-virus-29_taxid_687368.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Torque-teno-virus-3_taxid_687342.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Torque-teno-virus-4_taxid_687343.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Torque-teno-virus-6_taxid_687345.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torque-teno-virus-7_taxid_687346.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Torque-teno-virus-8_taxid_687347.gbk	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
