"","Resolvase","Secretin","Enterotoxin_a","Enterotoxin_b","Rep_1","AT_hook","Phage_DNA_bind","Rep_trans","Phage_CRI","Phage_X","Phage_GPA","Phage_CI_repr"
"1_II",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
"2_X",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
"208_hypothetical_protein",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
"10_IV",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
"22_IV",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23_replication_initiati..",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
"24_X",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
"48_Putative_replication..",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"75_resolvase",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207_putative_replication..",NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"150_hypothetical_protein",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
"152_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"195_ORF8",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
"285_ctxA",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286_ctxB",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"322_orf698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
