cluster	prevalence	term	what	familia	algoritmo
13_putative_protein_13	11.11111111111111	phosphorelay signal transduction system [GO:0000160]	bp	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
13_putative_protein_13	11.11111111111111	regulation of transcription, DNA-templated [GO:0006355]	bp	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
13_putative_protein_13	11.11111111111111	DNA-templated transcription, initiation [GO:0006352]	bp	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
13_putative_protein_13	11.11111111111111	cytosolic DNA-directed RNA polymerase complex [GO:0000345]	cc	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
13_putative_protein_13	11.11111111111111	intracellular anatomical structure [GO:0005622]	cc	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
13_putative_protein_13	11.11111111111111	DNA-binding transcription factor activity [GO:0003700]	mf	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
13_putative_protein_13	11.11111111111111	sigma factor activity [GO:0016987]	mf	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
13_putative_protein_13	11.11111111111111	DNA binding [GO:0003677]	mf	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
13_putative_protein_13	11.11111111111111	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]	mf	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
27_ORF10	11.11111111111111	protein methylation [GO:0006479]	bp	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
27_ORF10	11.11111111111111	DNA methylation on adenine [GO:0032775]	bp	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
27_ORF10	11.11111111111111	DNA restriction-modification system [GO:0009307]	bp	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
27_ORF10	11.11111111111111	N-4 methylation of cytosine [GO:0090124]	bp	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
27_ORF10	11.11111111111111	cytoplasm [GO:0005737]	cc	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
27_ORF10	11.11111111111111	4 iron, 4 sulfur cluster binding [GO:0051539]	mf	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
27_ORF10	11.11111111111111	N-methyltransferase activity [GO:0008170]	mf	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
27_ORF10	11.11111111111111	DNA (cytosine-5-)-methyltransferase activity [GO:0003886]	mf	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
27_ORF10	11.11111111111111	site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]	mf	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
27_ORF10	11.11111111111111	protein methyltransferase activity [GO:0008276]	mf	../results/Get_homologues/Pleolipoviridae/cluster_1_homologues_19062021_0818/	OMCL
