cluster	prevalence	term	what	familia	algoritmo
10_nonstructural_protei..	30.76923076923077	viral genome replication [GO:0019079]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
10_nonstructural_protei..	30.76923076923077	DNA replication [GO:0006260]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
10_nonstructural_protei..	30.76923076923077	modulation by virus of host G1/S transition checkpoint [GO:0039645]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
10_nonstructural_protei..	30.76923076923077	permeabilization of host organelle membrane involved in viral entry into host cell [GO:0039665]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
10_nonstructural_protei..	30.76923076923077	suppression by virus of G2/M transition of host mitotic cell cycle [GO:0039592]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
10_nonstructural_protei..	30.76923076923077	viral DNA genome replication [GO:0039693]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
10_nonstructural_protei..	30.76923076923077	viral entry via permeabilization of inner membrane [GO:0099008]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
10_nonstructural_protei..	30.76923076923077	induction by virus of host apoptotic process [GO:0019051]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
10_nonstructural_protei..	30.76923076923077	modulation by virus of host transcription [GO:0019056]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
10_nonstructural_protei..	30.76923076923077	rolling hairpin viral DNA replication [GO:0039685]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
11_capsid_protein	50.349650349650354	clathrin-dependent endocytosis of virus by host cell [GO:0075512]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
11_capsid_protein	50.349650349650354	permeabilization of host organelle membrane involved in viral entry into host cell [GO:0039665]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
11_capsid_protein	50.349650349650354	viral entry via permeabilization of inner membrane [GO:0099008]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
11_capsid_protein	50.349650349650354	virion attachment to host cell [GO:0019062]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
11_capsid_protein	50.349650349650354	microtubule-dependent intracellular transport of viral material towards nucleus [GO:0075521]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
11_capsid_protein	50.349650349650354	viral penetration into host nucleus [GO:0075732]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
11_capsid_protein	50.349650349650354	lipid catabolic process [GO:0016042]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
11_capsid_protein	50.349650349650354	receptor-mediated virion attachment to host cell [GO:0046813]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
115_NS1	5.594405594405594	DNA replication [GO:0006260]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
115_NS1	5.594405594405594	modulation by virus of host G1/S transition checkpoint [GO:0039645]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
115_NS1	5.594405594405594	permeabilization of host organelle membrane involved in viral entry into host cell [GO:0039665]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
115_NS1	5.594405594405594	suppression by virus of G2/M transition of host mitotic cell cycle [GO:0039592]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
115_NS1	5.594405594405594	viral DNA genome replication [GO:0039693]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
115_NS1	5.594405594405594	viral entry via permeabilization of inner membrane [GO:0099008]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
115_NS1	5.594405594405594	modulation by virus of host apoptotic process [GO:0039526]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
115_NS1	5.594405594405594	modulation by virus of host transcription [GO:0019056]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
115_NS1	5.594405594405594	rolling hairpin viral DNA replication [GO:0039685]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
115_NS1	5.594405594405594	viral genome replication [GO:0019079]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
137_polyprotein	2.797202797202797	DNA replication [GO:0006260]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
137_polyprotein	2.797202797202797	modulation by virus of host apoptotic process [GO:0039526]	bp	../results/Get_homologues/Parvoviridae/Parvoviridae_all_homologues_19062021_0804/	COG
