"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"1","1_hypothetical_protein",1,1,"","1_hypothetical_protein.faa","1_hypothetical_protein.fna","2249930",1.02040816326531
"2","2_VP2",2,2,"PF02957_","2_VP2.faa","2_VP2.fna","2249930_1670973",2.04081632653061
"3","3_VP1",7,7,"PF04162_","3_VP1.faa","3_VP1.fna","2249930_1002273_12618_1163715_1548711_1670973_1415628",7.14285714285714
"4","4_ORF3",1,1,"","4_ORF3.faa","4_ORF3.fna","2249930",1.02040816326531
"5","5_putative_dual-specif..",5,5,"PF02957_","5_putative_dual-specif...faa","5_putative_dual-specif...fna","1002273_12618_1163715_1548711_1415628",5.10204081632653
"6","6_VP3",5,5,"PF04771_","6_VP3.faa","6_VP3.fna","1002273_12618_1163715_1548711_1415628",5.10204081632653
"7","8_hypothetical_protein",1,1,"","8_hypothetical_protein.faa","8_hypothetical_protein.fna","12618",1.02040816326531
"8","12_ORF2",2,2,"","12_ORF2.faa","12_ORF2.fna","2016460_1514665",2.04081632653061
"9","13_ORF1",9,9,"PF02956_","13_ORF1.faa","13_ORF1.fna","2016460_1427157_1427156_991022_2012676_2012677_2065043_687384_1218490",9.18367346938776
"10","14_ORF3",1,1,"","14_ORF3.faa","14_ORF3.fna","2016460",1.02040816326531
"11","15_ORF2",59,59,"PF02957_","15_ORF2.faa","15_ORF2.fna","1743411_1619218_1619219_1619220_1629656_289366_289367_93678_687383_2065051_2065052_2065053_2065054_2065055_687379_687380_2065044_2065045_2065046_2065047_2065048_2065049_2065050_2065036_2065037_2065038_1859149_687369_687370_687371_687372_687373_687374_687375_687376_687377_1535290_687349_687350_687351_687352_687353_687354_687355_687358_687359_687360_687362_687363_687364_687367_687368_687341_687342_687343_687344_687345_687346_687347",60.2040816326531
