"","Gemini_AL1","RNA_helicase","Gemini_V2","Viral_Rep"
"4_v2",NA,NA,TRUE,NA
"6_rep",TRUE,NA,NA,NA
"25_truncated_replicatio..",NA,NA,NA,TRUE
"27_replication_initiato..",NA,TRUE,NA,TRUE
"29_replication_initiato..",NA,NA,NA,TRUE
